Label,Value,Year
Reported,606,1985
Cleared,183,1985
Reported,684,1986
Cleared,241,1986
Reported,571,1987
Cleared,286,1987
Reported,669,1988
Cleared,289,1988
Reported,709,1989
Cleared,337,1989
Reported,767,1990
Cleared,376,1990
Reported,838,1991
Cleared,369,1991
Reported,1217,1992
Cleared,565,1992
Reported,1410,1993
Cleared,688,1993
Reported,1529,1994
Cleared,732,1994
Reported,1462,1995
Cleared,728,1995
Reported,1297,1996
Cleared,778,1996
Reported,1191,1997
Cleared,748,1997
Reported,1056,1998
Cleared,659,1998
Reported,1106,1999
Cleared,662,1999
Reported,973,2000
Cleared,596,2000
Reported,1144,2001
Cleared,704,2001
Reported,1067,2002
Cleared,645,2002
Reported,1143,2003
Cleared,727,2003
Reported,1555,2004
Cleared,1097,2004
Reported,1407,2005
Cleared,896,2005
Reported,1862,2006
Cleared,1213,2006
Reported,1673,2007
Cleared,1155,2007
Reported,1830,2008
Cleared,1223,2008
Reported,1658,2009
Cleared,1134,2009
Reported,1701,2010
Cleared,1129,2010
Reported,1628,2011
Cleared,1003,2011
Reported,1673,2012
Cleared,1107,2012
Reported,1491,2013
Cleared,961,2013
Reported,1705,2014
Cleared,1035,2014
Reported,2062,2015
Cleared,1142,2015
Reported,2157,2016
Cleared,1208,2016
Reported,2368,2017
Cleared,1348,2017
Reported,2468,2018
Cleared,1528,2018
