Label,Value,Year
Reported,2892,1985
Cleared,177,1985
Reported,2824,1986
Cleared,184,1986
Reported,2113,1987
Cleared,204,1987
Reported,1890,1988
Cleared,139,1988
Reported,1708,1989
Cleared,144,1989
Reported,2060,1990
Cleared,153,1990
Reported,2489,1991
Cleared,168,1991
Reported,2650,1992
Cleared,164,1992
Reported,1880,1993
Cleared,192,1993
Reported,2276,1994
Cleared,181,1994
Reported,2521,1995
Cleared,176,1995
Reported,2353,1996
Cleared,155,1996
Reported,1931,1997
Cleared,190,1997
Reported,1617,1998
Cleared,150,1998
Reported,1543,1999
Cleared,223,1999
Reported,1533,2000
Cleared,186,2000
Reported,1606,2001
Cleared,153,2001
Reported,1521,2002
Cleared,157,2002
Reported,1418,2003
Cleared,178,2003
Reported,1523,2004
Cleared,171,2004
Reported,1783,2005
Cleared,144,2005
Reported,1733,2006
Cleared,186,2006
Reported,1454,2007
Cleared,222,2007
Reported,1191,2008
Cleared,162,2008
Reported,1613,2009
Cleared,179,2009
Reported,1223,2010
Cleared,149,2010
Reported,1080,2011
Cleared,141,2011
Reported,1158,2012
Cleared,147,2012
Reported,1318,2013
Cleared,140,2013
Reported,1375,2014
Cleared,133,2014
Reported,1685,2015
Cleared,168,2015
Reported,2008,2016
Cleared,209,2016
Reported,2216,2017
Cleared,250,2017
Reported,2068,2018
Cleared,311,2018
