Label,Value,Year
Reported,14,1985
Cleared,10,1985
Reported,17,1986
Cleared,8,1986
Reported,15,1987
Cleared,7,1987
Reported,13,1988
Cleared,9,1988
Reported,11,1989
Cleared,12,1989
Reported,10,1990
Cleared,7,1990
Reported,25,1991
Cleared,9,1991
Reported,17,1992
Cleared,9,1992
Reported,23,1993
Cleared,13,1993
Reported,22,1994
Cleared,14,1994
Reported,29,1995
Cleared,19,1995
Reported,25,1996
Cleared,16,1996
Reported,23,1997
Cleared,21,1997
Reported,19,1998
Cleared,11,1998
Reported,19,1999
Cleared,10,1999
Reported,10,2000
Cleared,9,2000
Reported,10,2001
Cleared,8,2001
Reported,18,2002
Cleared,19,2002
Reported,17,2003
Cleared,9,2003
Reported,15,2004
Cleared,14,2004
Reported,16,2005
Cleared,10,2005
Reported,17,2006
Cleared,12,2006
Reported,22,2007
Cleared,17,2007
Reported,10,2008
Cleared,7,2008
Reported,14,2009
Cleared,12,2009
Reported,13,2010
Cleared,10,2010
Reported,12,2011
Cleared,13,2011
Reported,15,2012
Cleared,12,2012
Reported,14,2013
Cleared,12,2013
Reported,12,2014
Cleared,9,2014
Reported,26,2015
Cleared,21,2015
Reported,28,2016
Cleared,20,2016
Reported,27,2017
Cleared,28,2017
Reported,26,2018
Cleared,14,2018
