Label,Value,Year
Reported,9154,1985
Cleared,1908,1985
Reported,11071,1986
Cleared,2416,1986
Reported,9491,1987
Cleared,1935,1987
Reported,8340,1988
Cleared,1744,1988
Reported,8219,1989
Cleared,2379,1989
Reported,8083,1990
Cleared,2232,1990
Reported,9967,1991
Cleared,2824,1991
Reported,10813,1992
Cleared,2785,1992
Reported,10660,1993
Cleared,2754,1993
Reported,11717,1994
Cleared,2752,1994
Reported,11152,1995
Cleared,2525,1995
Reported,10163,1996
Cleared,2239,1996
Reported,10083,1997
Cleared,2239,1997
Reported,8834,1998
Cleared,1994,1998
Reported,8471,1999
Cleared,1870,1999
Reported,8799,2000
Cleared,2162,2000
Reported,8648,2001
Cleared,1865,2001
Reported,9255,2002
Cleared,2158,2002
Reported,9091,2003
Cleared,2062,2003
Reported,7354,2004
Cleared,1530,2004
Reported,8248,2005
Cleared,1694,2005
Reported,8543,2006
Cleared,2040,2006
Reported,8397,2007
Cleared,1962,2007
Reported,7254,2008
Cleared,1914,2008
Reported,7835,2009
Cleared,1889,2009
Reported,8178,2010
Cleared,1844,2010
Reported,7750,2011
Cleared,1707,2011
Reported,8554,2012
Cleared,1868,2012
Reported,9845,2013
Cleared,2220,2013
Reported,9217,2014
Cleared,1713,2014
Reported,8962,2015
Cleared,1603,2015
Reported,10599,2016
Cleared,1481,2016
Reported,10721,2017
Cleared,1358,2017
Reported,9498,2018
Cleared,1305,2018
