Label,Value,Year
Reported,1392,1985
Cleared,72,1985
Reported,1386,1986
Cleared,88,1986
Reported,1117,1987
Cleared,94,1987
Reported,1182,1988
Cleared,151,1988
Reported,1158,1989
Cleared,172,1989
Reported,1534,1990
Cleared,204,1990
Reported,1561,1991
Cleared,160,1991
Reported,1611,1992
Cleared,170,1992
Reported,1387,1993
Cleared,179,1993
Reported,2191,1994
Cleared,342,1994
Reported,2122,1995
Cleared,317,1995
Reported,1584,1996
Cleared,210,1996
Reported,1362,1997
Cleared,176,1997
Reported,1281,1998
Cleared,226,1998
Reported,1251,1999
Cleared,203,1999
Reported,1010,2000
Cleared,163,2000
Reported,1212,2001
Cleared,171,2001
Reported,1173,2002
Cleared,220,2002
Reported,1197,2003
Cleared,214,2003
Reported,1024,2004
Cleared,192,2004
Reported,1334,2005
Cleared,231,2005
Reported,1445,2006
Cleared,243,2006
Reported,1256,2007
Cleared,234,2007
Reported,766,2008
Cleared,147,2008
Reported,868,2009
Cleared,158,2009
Reported,813,2010
Cleared,139,2010
Reported,625,2011
Cleared,126,2011
Reported,831,2012
Cleared,168,2012
Reported,869,2013
Cleared,182,2013
Reported,939,2014
Cleared,143,2014
Reported,1154,2015
Cleared,214,2015
Reported,2042,2016
Cleared,338,2016
Reported,3104,2017
Cleared,497,2017
Reported,2823,2018
Cleared,461,2018
