Label,Value,Year
Reported,13438,1985
Cleared,2157,1985
Reported,15281,1986
Cleared,2688,1986
Reported,12721,1987
Cleared,2233,1987
Reported,11412,1988
Cleared,2034,1988
Reported,11085,1989
Cleared,2695,1989
Reported,11677,1990
Cleared,2589,1990
Reported,14017,1991
Cleared,3152,1991
Reported,15074,1992
Cleared,3119,1992
Reported,13927,1993
Cleared,3125,1993
Reported,16184,1994
Cleared,3275,1994
Reported,15795,1995
Cleared,3018,1995
Reported,14100,1996
Cleared,2604,1996
Reported,13376,1997
Cleared,2605,1997
Reported,11732,1998
Cleared,2370,1998
Reported,11265,1999
Cleared,2296,1999
Reported,11342,2000
Cleared,2511,2000
Reported,11466,2001
Cleared,2189,2001
Reported,11949,2002
Cleared,2535,2002
Reported,11706,2003
Cleared,2454,2003
Reported,9901,2004
Cleared,1893,2004
Reported,11365,2005
Cleared,2069,2005
Reported,11721,2006
Cleared,2469,2006
Reported,11107,2007
Cleared,2418,2007
Reported,9211,2008
Cleared,2223,2008
Reported,10316,2009
Cleared,2226,2009
Reported,10214,2010
Cleared,2132,2010
Reported,9455,2011
Cleared,1974,2011
Reported,10543,2012
Cleared,2183,2012
Reported,12032,2013
Cleared,2542,2013
Reported,11531,2014
Cleared,1989,2014
Reported,11801,2015
Cleared,1985,2015
Reported,14649,2016
Cleared,2028,2016
Reported,16041,2017
Cleared,2105,2017
Reported,14389,2018
Cleared,2077,2018
