Label,Value,Year
Reported,1184,1985
Cleared,261,1985
Reported,1198,1986
Cleared,353,1986
Reported,1025,1987
Cleared,403,1987
Reported,1122,1988
Cleared,391,1988
Reported,1131,1989
Cleared,406,1989
Reported,1330,1990
Cleared,460,1990
Reported,1669,1991
Cleared,491,1991
Reported,1971,1992
Cleared,660,1992
Reported,2213,1993
Cleared,830,1993
Reported,2478,1994
Cleared,884,1994
Reported,2510,1995
Cleared,917,1995
Reported,2078,1996
Cleared,952,1996
Reported,1889,1997
Cleared,908,1997
Reported,1632,1998
Cleared,787,1998
Reported,1683,1999
Cleared,794,1999
Reported,1524,2000
Cleared,713,2000
Reported,1748,2001
Cleared,839,2001
Reported,1721,2002
Cleared,811,2002
Reported,1744,2003
Cleared,873,2003
Reported,2164,2004
Cleared,1260,2004
Reported,2031,2005
Cleared,1031,2005
Reported,2592,2006
Cleared,1384,2006
Reported,2405,2007
Cleared,1352,2007
Reported,2647,2008
Cleared,1455,2008
Reported,2488,2009
Cleared,1389,2009
Reported,2432,2010
Cleared,1340,2010
Reported,2388,2011
Cleared,1240,2011
Reported,2479,2012
Cleared,1336,2012
Reported,2435,2013
Cleared,1226,2013
Reported,2605,2014
Cleared,1278,2014
Reported,3226,2015
Cleared,1445,2015
Reported,3422,2016
Cleared,1513,2016
Reported,3780,2017
Cleared,1650,2017
Reported,3824,2018
Cleared,1941,2018
