Label,Value,Year
Reported,115,1991
Cleared,1,1991
Reported,161,1992
Cleared,9,1992
Reported,125,1993
Cleared,23,1993
Reported,165,1994
Cleared,18,1994
Reported,89,1995
Cleared,18,1995
Reported,132,1996
Cleared,20,1996
Reported,109,1997
Cleared,16,1997
Reported,152,1998
Cleared,28,1998
Reported,150,1999
Cleared,26,1999
Reported,138,2000
Cleared,9,2000
Reported,114,2001
Cleared,29,2001
Reported,164,2002
Cleared,20,2002
Reported,90,2003
Cleared,6,2003
Reported,180,2004
Cleared,25,2004
Reported,252,2005
Cleared,18,2005
Reported,244,2006
Cleared,38,2006
Reported,227,2007
Cleared,19,2007
Reported,198,2008
Cleared,21,2008
Reported,162,2009
Cleared,27,2009
Reported,162,2010
Cleared,23,2010
Reported,143,2011
Cleared,18,2011
Reported,158,2012
Cleared,32,2012
Reported,141,2013
Cleared,23,2013
Reported,101,2014
Cleared,8,2014
Reported,75,2015
Cleared,5,2015
Reported,112,2016
Cleared,4,2016
Reported,4,2017
Cleared,0,2017
Reported,90,2018
Cleared,11,2018
