Label,Value,Year
Reported,9,1991
Cleared,0,1991
Reported,18,1992
Cleared,10,1992
Reported,11,1993
Cleared,5,1993
Reported,12,1994
Cleared,4,1994
Reported,6,1995
Cleared,4,1995
Reported,4,1996
Cleared,4,1996
Reported,2,1997
Cleared,2,1997
Reported,1,1998
Cleared,1,1998
Reported,0,1999
Cleared,0,1999
Reported,4,2000
Cleared,3,2000
Reported,2,2001
Cleared,1,2001
Reported,2,2002
Cleared,2,2002
Reported,6,2003
Cleared,5,2003
Reported,11,2004
Cleared,9,2004
Reported,5,2005
Cleared,3,2005
Reported,4,2006
Cleared,2,2006
Reported,5,2007
Cleared,4,2007
Reported,9,2008
Cleared,5,2008
Reported,3,2009
Cleared,3,2009
Reported,8,2010
Cleared,5,2010
Reported,6,2011
Cleared,5,2011
Reported,7,2012
Cleared,6,2012
Reported,1,2013
Cleared,0,2013
Reported,6,2014
Cleared,3,2014
Reported,3,2015
Cleared,3,2015
Reported,4,2016
Cleared,1,2016
Reported,0,2017
Cleared,0,2017
Reported,6,2018
Cleared,4,2018
