year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1991,AR0230600,9,0,0,0,0,0,9,0,115,1,0,0,18,0,92,0,5,1
1992,AR0230600,18,10,0,0,0,0,18,10,161,9,0,0,27,1,133,8,1,0
1993,AR0230600,11,5,0,0,3,0,7,5,125,23,1,0,22,0,102,22,1,1
1994,AR0230600,12,4,0,0,3,2,9,2,165,18,3,0,23,1,141,17,1,0
1995,AR0230600,6,4,0,0,0,0,5,4,89,18,3,0,11,3,77,14,1,1
1996,AR0230600,4,4,0,0,0,0,3,3,132,20,1,0,17,7,114,13,1,0
1997,AR0230600,2,2,0,0,1,1,1,1,109,16,0,0,6,2,101,14,2,0
1998,AR0230600,1,1,0,0,0,0,1,1,152,28,0,0,14,0,138,28,0,0
1999,AR0230600,0,0,0,0,0,0,0,0,150,26,1,0,15,2,132,23,3,1
2000,AR0230600,4,3,0,0,0,0,4,3,138,9,1,0,33,4,104,5,1,0
2001,AR0230600,2,1,0,0,0,0,1,1,114,29,1,1,18,6,96,23,0,0
2002,AR0230600,2,2,0,0,0,0,2,2,164,20,0,0,27,7,137,13,0,0
2003,AR0230600,6,5,0,0,0,0,5,4,90,6,3,0,40,2,50,4,0,0
2004,AR0230600,11,9,0,0,0,0,8,7,180,25,0,0,54,11,125,14,1,0
2005,AR0230600,5,3,0,0,0,0,4,2,252,18,1,0,84,5,159,13,9,0
2006,AR0230600,4,2,0,0,1,0,2,2,244,38,1,0,104,17,136,20,4,1
2007,AR0230600,5,4,0,0,1,0,4,4,227,19,1,0,63,6,159,13,5,0
2008,AR0230600,9,5,3,3,1,0,4,2,198,21,0,0,57,10,133,11,8,0
2009,AR0230600,3,3,0,0,0,0,2,2,162,27,0,0,83,14,78,12,1,1
2010,AR0230600,8,5,0,0,1,0,5,4,162,23,0,0,53,8,106,15,3,0
2011,AR0230600,6,5,0,0,1,1,2,2,143,18,1,0,48,5,93,13,2,0
2012,AR0230600,7,6,0,0,1,1,2,2,158,32,0,0,67,22,89,9,2,1
2013,AR0230600,1,0,0,0,0,0,0,0,141,23,0,0,30,2,108,21,3,0
2014,AR0230600,6,3,0,0,1,0,4,1,101,8,0,0,10,2,90,6,1,0
2015,AR0230600,3,3,0,0,0,0,1,1,75,5,0,0,6,1,68,4,1,0
2016,AR0230600,4,1,0,0,0,0,1,1,112,4,0,0,9,0,99,3,4,1
2017,AR0230600,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0
2018,AR0230600,6,4,0,0,0,0,2,2,90,11,0,0,3,0,82,7,5,4
