Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,0,1986
Cleared,0,1986
Reported,5,1987
Cleared,2,1987
Reported,1,1988
Cleared,1,1988
Reported,5,1989
Cleared,4,1989
Reported,3,1990
Cleared,3,1990
Reported,1,1991
Cleared,1,1991
Reported,2,1992
Cleared,2,1992
Reported,5,1993
Cleared,5,1993
Reported,6,1994
Cleared,3,1994
Reported,6,1995
Cleared,1,1995
Reported,3,1996
Cleared,2,1996
Reported,1,1997
Cleared,1,1997
Reported,4,1998
Cleared,4,1998
Reported,3,1999
Cleared,1,1999
Reported,6,2000
Cleared,6,2000
Reported,3,2001
Cleared,2,2001
Reported,2,2002
Cleared,2,2002
Reported,1,2003
Cleared,0,2003
Reported,4,2004
Cleared,2,2004
Reported,7,2005
Cleared,3,2005
Reported,6,2006
Cleared,0,2006
Reported,4,2007
Cleared,1,2007
Reported,1,2008
Cleared,0,2008
Reported,4,2009
Cleared,1,2009
Reported,2,2010
Cleared,1,2010
Reported,2,2011
Cleared,1,2011
Reported,7,2012
Cleared,6,2012
Reported,1,2013
Cleared,0,2013
Reported,11,2014
Cleared,9,2014
Reported,4,2015
Cleared,2,2015
Reported,1,2016
Cleared,0,2016
Reported,2,2017
Cleared,1,2017
Reported,3,2018
Cleared,0,2018
