Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,4,1986
Cleared,1,1986
Reported,13,1987
Cleared,1,1987
Reported,5,1988
Cleared,3,1988
Reported,5,1989
Cleared,1,1989
Reported,0,1990
Cleared,0,1990
Reported,6,1991
Cleared,0,1991
Reported,3,1992
Cleared,1,1992
Reported,11,1993
Cleared,3,1993
Reported,19,1994
Cleared,2,1994
Reported,20,1995
Cleared,0,1995
Reported,11,1996
Cleared,2,1996
Reported,2,1997
Cleared,0,1997
Reported,1,1998
Cleared,1,1998
Reported,4,1999
Cleared,0,1999
Reported,4,2000
Cleared,0,2000
Reported,9,2001
Cleared,0,2001
Reported,11,2002
Cleared,0,2002
Reported,37,2003
Cleared,4,2003
Reported,54,2004
Cleared,2,2004
Reported,76,2005
Cleared,3,2005
Reported,97,2006
Cleared,3,2006
Reported,82,2007
Cleared,9,2007
Reported,87,2008
Cleared,3,2008
Reported,62,2009
Cleared,2,2009
Reported,43,2010
Cleared,3,2010
Reported,72,2011
Cleared,12,2011
Reported,39,2012
Cleared,4,2012
Reported,33,2013
Cleared,1,2013
Reported,12,2014
Cleared,4,2014
Reported,1,2015
Cleared,0,2015
Reported,2,2016
Cleared,0,2016
Reported,5,2017
Cleared,0,2017
Reported,3,2018
Cleared,2,2018
