Label,Value,Year
Reported,75,1985
Cleared,5,1985
Reported,117,1986
Cleared,4,1986
Reported,113,1987
Cleared,9,1987
Reported,80,1988
Cleared,4,1988
Reported,66,1989
Cleared,14,1989
Reported,73,1990
Cleared,22,1990
Reported,79,1991
Cleared,14,1991
Reported,98,1992
Cleared,19,1992
Reported,83,1993
Cleared,8,1993
Reported,152,1994
Cleared,4,1994
Reported,127,1995
Cleared,11,1995
Reported,100,1996
Cleared,15,1996
Reported,155,1997
Cleared,6,1997
Reported,150,1998
Cleared,5,1998
Reported,183,1999
Cleared,9,1999
Reported,93,2000
Cleared,3,2000
Reported,104,2001
Cleared,2,2001
Reported,128,2002
Cleared,7,2002
Reported,25,2003
Cleared,1,2003
Reported,102,2004
Cleared,4,2004
Reported,75,2005
Cleared,5,2005
Reported,91,2006
Cleared,10,2006
Reported,123,2007
Cleared,28,2007
Reported,99,2008
Cleared,19,2008
Reported,100,2009
Cleared,21,2009
Reported,86,2010
Cleared,11,2010
Reported,117,2011
Cleared,17,2011
Reported,114,2012
Cleared,11,2012
Reported,89,2013
Cleared,10,2013
Reported,118,2014
Cleared,2,2014
Reported,84,2015
Cleared,0,2015
Reported,76,2016
Cleared,4,2016
Reported,74,2017
Cleared,1,2017
Reported,66,2018
Cleared,3,2018
