Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,1,1986
Cleared,0,1986
Reported,0,1987
Cleared,0,1987
Reported,6,1988
Cleared,2,1988
Reported,5,1989
Cleared,2,1989
Reported,5,1990
Cleared,1,1990
Reported,1,1991
Cleared,0,1991
Reported,7,1992
Cleared,4,1992
Reported,8,1993
Cleared,3,1993
Reported,8,1994
Cleared,0,1994
Reported,5,1995
Cleared,2,1995
Reported,7,1996
Cleared,3,1996
Reported,7,1997
Cleared,2,1997
Reported,4,1998
Cleared,0,1998
Reported,5,1999
Cleared,3,1999
Reported,5,2000
Cleared,3,2000
Reported,15,2001
Cleared,0,2001
Reported,16,2002
Cleared,0,2002
Reported,1,2003
Cleared,0,2003
Reported,6,2004
Cleared,1,2004
Reported,14,2005
Cleared,2,2005
Reported,12,2006
Cleared,1,2006
Reported,5,2007
Cleared,0,2007
Reported,3,2008
Cleared,0,2008
Reported,2,2009
Cleared,0,2009
Reported,7,2010
Cleared,0,2010
Reported,9,2011
Cleared,1,2011
Reported,3,2012
Cleared,0,2012
Reported,5,2013
Cleared,0,2013
Reported,5,2014
Cleared,0,2014
Reported,0,2015
Cleared,0,2015
Reported,4,2016
Cleared,0,2016
Reported,1,2017
Cleared,0,2017
Reported,4,2018
Cleared,0,2018
