year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,AR0600500,0,0,1,0,0,0,0,0,75,5,0,0,75,5,1,0,1,0
1986,AR0600500,0,0,0,0,4,1,0,0,117,4,1,0,122,5,1,1,3,2
1987,AR0600500,5,2,0,0,13,1,0,0,113,9,0,0,126,10,0,0,5,2
1988,AR0600500,1,1,0,0,5,3,0,0,80,4,6,2,91,9,1,0,2,1
1989,AR0600500,5,4,0,0,5,1,0,0,66,14,5,2,76,17,1,0,6,4
1990,AR0600500,3,3,0,0,0,0,0,0,73,22,5,1,78,23,-1,0,2,3
1991,AR0600500,1,1,0,0,6,0,0,0,79,14,1,0,86,14,0,0,1,1
1992,AR0600500,2,2,0,0,3,1,0,0,98,19,7,4,108,24,2,1,4,3
1993,AR0600500,5,5,1,0,11,3,0,0,83,8,8,3,102,14,2,1,7,6
1994,AR0600500,6,3,0,0,19,2,0,0,152,4,8,0,179,6,4,0,11,4
1995,AR0600500,6,1,0,0,20,0,0,0,127,11,5,2,152,13,2,2,9,3
1996,AR0600500,3,2,1,0,11,2,0,0,100,15,7,3,118,20,0,0,3,2
1997,AR0600500,1,1,0,0,2,0,0,0,155,6,7,2,164,8,2,0,3,1
1998,AR0600500,4,4,0,0,1,1,0,0,150,5,4,0,155,6,1,0,5,4
1999,AR0600500,3,1,0,0,4,0,0,0,183,9,5,3,192,12,1,1,5,3
2000,AR0600500,6,6,0,0,4,0,0,0,93,3,5,3,102,6,1,0,7,6
2001,AR0600500,3,2,0,0,9,0,0,0,104,2,15,0,128,2,1,0,4,2
2002,AR0600500,2,2,0,0,11,0,0,0,128,7,16,0,155,7,2,0,4,2
2003,AR0600500,1,0,0,0,37,4,0,0,25,1,1,0,63,5,2,1,3,1
2004,AR0600500,4,2,0,0,54,2,0,0,102,4,6,1,162,7,2,1,6,3
2005,AR0600500,7,3,0,0,76,3,0,0,75,5,14,2,165,10,1,0,10,3
2006,AR0600500,6,0,0,0,97,3,0,0,91,10,12,1,200,14,7,4,13,4
2007,AR0600500,4,1,0,0,82,9,0,0,123,28,5,0,210,37,9,2,13,3
2008,AR0600500,1,0,0,0,87,3,0,0,99,19,3,0,189,22,5,2,8,2
2009,AR0600500,4,1,0,0,62,2,0,0,100,21,2,0,164,23,5,1,9,2
2010,AR0600500,2,1,0,0,43,3,0,0,86,11,7,0,136,14,1,0,4,1
2011,AR0600500,2,1,0,0,72,12,0,0,117,17,9,1,198,30,3,1,7,2
2012,AR0600500,7,6,0,0,39,4,0,0,114,11,3,0,156,15,4,1,11,7
2013,AR0600500,1,0,0,0,33,1,0,0,89,10,5,0,127,11,1,0,2,0
2014,AR0600500,11,9,0,0,12,4,0,0,118,2,5,0,135,6,2,0,13,9
2015,AR0600500,4,2,0,0,1,0,0,0,84,0,0,0,85,0,3,0,8,2
2016,AR0600500,1,0,0,0,2,0,0,0,76,4,4,0,82,4,0,0,1,0
2017,AR0600500,2,1,0,0,5,0,0,0,74,1,1,0,80,1,1,0,3,1
2018,AR0600500,3,0,0,0,3,2,0,0,66,3,4,0,73,5,0,0,4,0
