Label,Value,Year
Reported,597,1985
Cleared,95,1985
Reported,658,1986
Cleared,97,1986
Reported,474,1987
Cleared,76,1987
Reported,479,1988
Cleared,78,1988
Reported,657,1989
Cleared,62,1989
Reported,498,1990
Cleared,65,1990
Reported,405,1991
Cleared,76,1991
Reported,353,1992
Cleared,57,1992
Reported,309,1993
Cleared,52,1993
Reported,281,1994
Cleared,31,1994
Reported,271,1995
Cleared,38,1995
Reported,279,1996
Cleared,30,1996
Reported,277,1997
Cleared,36,1997
Reported,276,1998
Cleared,25,1998
Reported,237,1999
Cleared,27,1999
Reported,255,2000
Cleared,27,2000
Reported,421,2001
Cleared,48,2001
Reported,501,2002
Cleared,45,2002
Reported,436,2003
Cleared,40,2003
Reported,378,2004
Cleared,24,2004
Reported,472,2005
Cleared,33,2005
Reported,525,2006
Cleared,40,2006
Reported,487,2007
Cleared,43,2007
Reported,473,2008
Cleared,41,2008
Reported,436,2009
Cleared,48,2009
Reported,320,2010
Cleared,51,2010
Reported,273,2011
Cleared,46,2011
Reported,306,2012
Cleared,34,2012
Reported,269,2013
Cleared,45,2013
Reported,313,2014
Cleared,47,2014
Reported,244,2015
Cleared,25,2015
Reported,216,2016
Cleared,45,2016
Reported,190,2017
Cleared,20,2017
Reported,124,2018
Cleared,12,2018
