Label,Value,Year
Reported,89,1985
Cleared,57,1985
Reported,122,1986
Cleared,84,1986
Reported,111,1987
Cleared,70,1987
Reported,106,1988
Cleared,90,1988
Reported,126,1989
Cleared,87,1989
Reported,128,1990
Cleared,96,1990
Reported,128,1991
Cleared,99,1991
Reported,136,1992
Cleared,91,1992
Reported,158,1993
Cleared,111,1993
Reported,231,1994
Cleared,137,1994
Reported,214,1995
Cleared,113,1995
Reported,186,1996
Cleared,105,1996
Reported,175,1997
Cleared,84,1997
Reported,185,1998
Cleared,72,1998
Reported,214,1999
Cleared,104,1999
Reported,152,2000
Cleared,80,2000
Reported,209,2001
Cleared,93,2001
Reported,177,2002
Cleared,81,2002
Reported,241,2003
Cleared,99,2003
Reported,202,2004
Cleared,68,2004
Reported,220,2005
Cleared,90,2005
Reported,235,2006
Cleared,93,2006
Reported,212,2007
Cleared,100,2007
Reported,167,2008
Cleared,85,2008
Reported,122,2009
Cleared,77,2009
Reported,116,2010
Cleared,84,2010
Reported,116,2011
Cleared,83,2011
Reported,123,2012
Cleared,105,2012
Reported,118,2013
Cleared,110,2013
Reported,114,2014
Cleared,79,2014
Reported,112,2015
Cleared,77,2015
Reported,146,2016
Cleared,68,2016
Reported,157,2017
Cleared,90,2017
Reported,132,2018
Cleared,91,2018
