Label,Value,Year
Reported,2425,1985
Cleared,651,1985
Reported,2972,1986
Cleared,869,1986
Reported,2287,1987
Cleared,750,1987
Reported,2518,1988
Cleared,808,1988
Reported,2615,1989
Cleared,833,1989
Reported,3383,1990
Cleared,1027,1990
Reported,3448,1991
Cleared,971,1991
Reported,3140,1992
Cleared,983,1992
Reported,3437,1993
Cleared,940,1993
Reported,3451,1994
Cleared,893,1994
Reported,3693,1995
Cleared,835,1995
Reported,3757,1996
Cleared,873,1996
Reported,3725,1997
Cleared,873,1997
Reported,3764,1998
Cleared,774,1998
Reported,3819,1999
Cleared,724,1999
Reported,3763,2000
Cleared,715,2000
Reported,4629,2001
Cleared,841,2001
Reported,4075,2002
Cleared,758,2002
Reported,3676,2003
Cleared,767,2003
Reported,3723,2004
Cleared,607,2004
Reported,4237,2005
Cleared,795,2005
Reported,4363,2006
Cleared,748,2006
Reported,4942,2007
Cleared,817,2007
Reported,4825,2008
Cleared,873,2008
Reported,3757,2009
Cleared,824,2009
Reported,3250,2010
Cleared,733,2010
Reported,3324,2011
Cleared,717,2011
Reported,3516,2012
Cleared,840,2012
Reported,3233,2013
Cleared,845,2013
Reported,2952,2014
Cleared,674,2014
Reported,3020,2015
Cleared,688,2015
Reported,3272,2016
Cleared,743,2016
Reported,3293,2017
Cleared,600,2017
Reported,3112,2018
Cleared,850,2018
