Label,Value,Year
Reported,7521,1985
Cleared,3903,1985
Reported,9238,1986
Cleared,4825,1986
Reported,8181,1987
Cleared,4531,1987
Reported,8477,1988
Cleared,4741,1988
Reported,8481,1989
Cleared,4482,1989
Reported,10665,1990
Cleared,5042,1990
Reported,11010,1991
Cleared,5399,1991
Reported,10907,1992
Cleared,5474,1992
Reported,11911,1993
Cleared,4484,1993
Reported,11627,1994
Cleared,4080,1994
Reported,11590,1995
Cleared,3544,1995
Reported,10529,1996
Cleared,3274,1996
Reported,10376,1997
Cleared,3321,1997
Reported,10201,1998
Cleared,3180,1998
Reported,10199,1999
Cleared,3224,1999
Reported,9754,2000
Cleared,3033,2000
Reported,10532,2001
Cleared,2971,2001
Reported,10223,2002
Cleared,3131,2002
Reported,9722,2003
Cleared,3036,2003
Reported,9465,2004
Cleared,2535,2004
Reported,10691,2005
Cleared,3266,2005
Reported,11195,2006
Cleared,3358,2006
Reported,11158,2007
Cleared,3210,2007
Reported,10465,2008
Cleared,3219,2008
Reported,8730,2009
Cleared,3068,2009
Reported,8001,2010
Cleared,2727,2010
Reported,8089,2011
Cleared,2698,2011
Reported,9458,2012
Cleared,3375,2012
Reported,9492,2013
Cleared,3431,2013
Reported,8749,2014
Cleared,2979,2014
Reported,9261,2015
Cleared,2674,2015
Reported,10700,2016
Cleared,2856,2016
Reported,12511,2017
Cleared,3371,2017
Reported,12110,2018
Cleared,3931,2018
