year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,AZ0072300,4372,2921,597,95,23346,2436,89,57,46743,10571,4913,1128,75002,14135,2425,651,7521,3903
1986,AZ0072300,5577,3581,658,97,25586,2667,122,84,48896,11586,5654,1252,80136,15505,2972,869,9238,4825
1987,AZ0072300,5280,3466,474,76,21185,2461,111,70,48700,12270,5894,1166,75779,15897,2287,750,8181,4531
1988,AZ0072300,5408,3611,479,78,20841,2496,106,90,51147,12672,6615,1411,78603,16579,2518,808,8477,4741
1989,AZ0072300,5341,3375,657,62,23013,2319,126,87,58160,13669,12705,1902,93878,17890,2615,833,8481,4482
1990,AZ0072300,6642,3680,498,65,24682,2176,128,96,52912,12260,17520,1855,95114,16291,3383,1027,10665,5042
1991,AZ0072300,6954,4100,405,76,24219,2062,128,99,47338,10940,16605,1908,88162,14910,3448,971,11010,5399
1992,AZ0072300,7155,4199,353,57,20317,1680,136,91,46006,10687,14983,1521,81306,13888,3140,983,10907,5474
1993,AZ0072300,7872,3305,309,52,20617,1304,158,111,48382,10059,15566,1409,84565,12772,3437,940,11911,4484
1994,AZ0072300,7507,2936,281,31,21347,1353,231,137,54493,10990,20664,2064,96504,14407,3451,893,11627,4080
1995,AZ0072300,7272,2496,271,38,20953,1274,214,113,62422,12107,23161,2596,106536,15977,3693,835,11590,3544
1996,AZ0072300,6126,2186,279,30,19559,1185,186,105,60565,11619,18096,2126,98220,14930,3757,873,10529,3274
1997,AZ0072300,6048,2257,277,36,21027,1108,175,84,61635,11084,19619,2300,102281,14492,3725,873,10376,3321
1998,AZ0072300,5906,2273,276,25,18733,1138,185,72,57957,10671,17843,2478,94533,14287,3764,774,10201,3180
1999,AZ0072300,5766,2292,237,27,15927,952,214,104,50556,9243,17959,1916,84442,12111,3819,724,10199,3224
2000,AZ0072300,5417,2148,255,27,15860,864,152,80,52418,8135,19466,2094,87744,11093,3763,715,9754,3033
2001,AZ0072300,5294,1923,421,48,16673,807,209,93,55190,8058,22580,2143,94443,11008,4629,841,10532,2971
2002,AZ0072300,5561,2202,501,45,16855,786,177,81,57214,8151,25624,2543,99693,11480,4075,758,10223,3131
2003,AZ0072300,5279,2031,436,40,17104,906,241,99,55068,7938,25651,2584,97823,11428,3676,767,9722,3036
2004,AZ0072300,5050,1784,378,24,16496,797,202,68,53041,7273,24869,2128,94406,10198,3723,607,9465,2535
2005,AZ0072300,5701,2256,472,33,16255,866,220,90,52537,7802,24536,2361,93328,11029,4237,795,10691,3266
2006,AZ0072300,6047,2407,525,40,16150,814,235,93,49811,6128,24089,2000,90050,8942,4363,748,11195,3358
2007,AZ0072300,5495,2189,487,43,19212,841,212,100,49754,7163,20859,1651,89825,9655,4942,817,11158,3210
2008,AZ0072300,4992,2161,473,41,18783,939,167,85,48685,8170,15221,985,82689,10094,4825,873,10465,3219
2009,AZ0072300,4329,2035,436,48,16281,854,122,77,39643,8830,9693,669,65617,10353,3757,824,8730,3068
2010,AZ0072300,4113,1795,320,51,15626,792,116,84,38012,7865,7777,454,61415,9111,3250,733,8001,2727
2011,AZ0072300,4090,1777,273,46,18666,948,116,83,38258,7806,7555,401,64479,9155,3324,717,8089,2698
2012,AZ0072300,5263,2270,306,34,17912,1057,123,105,35678,8069,7187,487,60777,9613,3516,840,9458,3375
2013,AZ0072300,5506,2351,269,45,16747,1013,118,110,36983,8409,6355,490,60085,9912,3233,845,9492,3431
2014,AZ0072300,4677,1993,313,47,14316,900,114,79,35461,8029,7200,529,56977,9458,2952,674,8749,2979
2015,AZ0072300,5113,1715,244,25,12798,759,112,77,34288,7232,7370,541,54456,8532,3020,688,9261,2674
2016,AZ0072300,6263,1934,216,45,13024,741,146,68,37568,6658,7960,495,58552,7894,3272,743,10700,2856
2017,AZ0072300,7919,2605,190,20,12801,613,157,90,39899,6263,7653,332,60353,7208,3293,600,12511,3371
2018,AZ0072300,7780,2881,124,12,10479,635,132,91,39438,6326,7815,543,57732,7504,3112,850,12110,3931
