Label,Value,Year
Reported,672,1985
Cleared,67,1985
Reported,648,1986
Cleared,47,1986
Reported,617,1987
Cleared,23,1987
Reported,548,1988
Cleared,31,1988
Reported,552,1989
Cleared,23,1989
Reported,669,1990
Cleared,90,1990
Reported,585,1991
Cleared,74,1991
Reported,722,1992
Cleared,57,1992
Reported,552,1993
Cleared,44,1993
Reported,502,1994
Cleared,64,1994
Reported,447,1995
Cleared,39,1995
Reported,482,1996
Cleared,44,1996
Reported,419,1997
Cleared,30,1997
Reported,410,1998
Cleared,0,1998
Reported,452,1999
Cleared,43,1999
Reported,480,2000
Cleared,39,2000
Reported,502,2001
Cleared,44,2001
Reported,563,2002
Cleared,56,2002
Reported,539,2003
Cleared,39,2003
Reported,469,2004
Cleared,42,2004
Reported,420,2005
Cleared,42,2005
Reported,374,2006
Cleared,14,2006
Reported,455,2007
Cleared,48,2007
Reported,417,2008
Cleared,40,2008
Reported,314,2009
Cleared,37,2009
Reported,243,2010
Cleared,30,2010
Reported,222,2011
Cleared,28,2011
Reported,207,2012
Cleared,26,2012
Reported,157,2013
Cleared,20,2013
Reported,198,2014
Cleared,40,2014
Reported,215,2015
Cleared,43,2015
Reported,227,2016
Cleared,25,2016
Reported,253,2017
Cleared,45,2017
Reported,214,2018
Cleared,54,2018
