Label,Value,Year
Reported,6636,1985
Cleared,663,1985
Reported,6931,1986
Cleared,584,1986
Reported,7250,1987
Cleared,429,1987
Reported,7460,1988
Cleared,557,1988
Reported,8337,1989
Cleared,471,1989
Reported,8871,1990
Cleared,1019,1990
Reported,8338,1991
Cleared,750,1991
Reported,8614,1992
Cleared,766,1992
Reported,8418,1993
Cleared,706,1993
Reported,8167,1994
Cleared,730,1994
Reported,7013,1995
Cleared,585,1995
Reported,6496,1996
Cleared,627,1996
Reported,5617,1997
Cleared,592,1997
Reported,4434,1998
Cleared,461,1998
Reported,4433,1999
Cleared,564,1999
Reported,4885,2000
Cleared,453,2000
Reported,5123,2001
Cleared,538,2001
Reported,5435,2002
Cleared,704,2002
Reported,6207,2003
Cleared,615,2003
Reported,6517,2004
Cleared,586,2004
Reported,6727,2005
Cleared,700,2005
Reported,6195,2006
Cleared,583,2006
Reported,5707,2007
Cleared,484,2007
Reported,5382,2008
Cleared,431,2008
Reported,4365,2009
Cleared,392,2009
Reported,4090,2010
Cleared,361,2010
Reported,3656,2011
Cleared,323,2011
Reported,3942,2012
Cleared,300,2012
Reported,3546,2013
Cleared,339,2013
Reported,3461,2014
Cleared,296,2014
Reported,4203,2015
Cleared,385,2015
Reported,4354,2016
Cleared,394,2016
Reported,4392,2017
Cleared,404,2017
Reported,3839,2018
Cleared,381,2018
