ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
CA0191900,2018,30,369,0,101,0,0,27,174,4,0,7,9,0,0,0,179,1,0,7,1,0,0,1,33,3,51,10,0,0,4,17
CA0191900,2017,27,349,0,132,0,0,25,165,4,0,15,5,0,0,0,195,1,0,10,0,0,0,1,27,4,41,14,0,1,1,16
CA0191900,2016,39,222,0,132,0,1,30,96,6,0,6,4,1,0,0,197,0,0,14,0,0,0,0,22,2,35,14,0,1,2,7
CA0191900,2015,33,319,0,90,0,0,62,97,7,1,2,4,0,0,0,175,11,0,10,1,0,0,2,22,7,32,4,0,0,7,9
CA0191900,2014,31,188,0,160,0,1,91,74,11,1,9,7,0,0,0,167,1,0,7,1,0,0,1,16,4,27,11,0,1,8,2
CA0191900,2013,33,259,1,175,0,0,37,104,8,0,15,9,0,0,0,164,3,0,9,0,1,0,1,9,5,36,8,0,0,10,16
CA0191900,2012,36,341,0,130,0,1,33,140,2,1,10,8,0,0,0,240,3,1,6,0,0,0,0,20,6,29,18,0,0,9,10
CA0191900,2011,29,319,0,123,0,3,14,103,4,3,18,9,0,0,0,284,3,0,9,0,0,0,3,19,3,35,13,0,0,16,19
CA0191900,2010,34,341,1,142,0,0,22,116,5,2,23,8,0,0,0,268,2,1,6,0,0,0,1,11,9,28,15,0,0,15,15
CA0191900,2009,28,296,0,144,0,7,27,115,0,0,17,14,0,0,0,343,5,0,10,0,1,0,1,19,9,37,18,0,0,23,13
CA0191900,2008,35,281,3,127,0,1,26,111,0,1,22,14,0,0,0,271,6,2,11,0,0,1,2,23,13,34,11,0,3,10,14
CA0191900,2007,44,292,1,123,0,3,41,93,0,2,19,18,0,0,0,267,5,0,21,1,0,0,0,26,5,37,18,0,0,13,18
CA0191900,2006,33,242,0,138,0,2,33,108,0,1,30,20,0,0,0,324,2,0,16,0,0,0,0,47,4,32,9,0,3,14,21
CA0191900,2005,39,310,1,115,0,0,57,222,0,1,27,14,0,0,0,308,0,0,20,1,0,0,2,42,8,22,22,0,0,18,17
CA0191900,2004,67,301,1,109,0,0,39,205,1,3,34,16,0,0,0,281,1,0,40,0,0,0,1,31,7,36,17,0,0,24,27
CA0191900,2003,62,137,0,160,0,2,39,128,0,4,38,15,0,0,0,288,0,0,18,0,0,0,0,41,11,30,19,0,0,8,17
CA0191900,2002,51,97,1,134,0,1,45,129,0,2,39,19,0,0,0,332,1,0,18,0,0,0,1,22,5,31,23,0,0,10,10
CA0191900,2001,37,90,0,105,0,2,29,101,0,2,50,20,0,0,0,397,1,0,14,1,0,0,0,16,9,36,14,0,0,7,9
CA0191900,2000,38,110,0,102,0,3,45,40,4,9,36,21,0,0,0,337,0,1,19,0,0,1,1,39,10,23,18,0,1,13,14
CA0191900,1999,64,130,0,157,0,2,43,61,8,4,44,11,0,0,0,394,1,0,15,0,1,0,1,25,20,36,14,0,0,19,11
CA0191900,1998,62,152,0,149,0,1,47,64,4,2,47,27,0,0,0,509,0,0,32,0,0,0,0,36,69,31,17,0,0,6,24
CA0191900,1997,75,191,0,144,0,7,56,93,6,4,44,13,0,0,0,416,7,0,43,1,0,0,0,46,54,48,34,0,0,13,23
CA0191900,1996,75,123,2,133,0,4,57,83,9,0,40,5,0,0,0,471,2,0,33,0,0,1,5,31,12,36,27,0,0,10,20
CA0191900,1995,66,132,2,181,0,1,37,94,8,0,60,12,0,0,0,562,1,0,41,0,1,0,0,37,23,32,16,0,1,11,26
CA0191900,1994,81,134,8,266,0,4,44,116,3,2,93,20,0,0,0,547,0,0,41,2,0,0,3,69,19,26,24,0,0,8,37
CA0191900,1993,68,137,3,316,0,5,42,120,5,4,83,30,0,0,0,476,3,0,26,3,1,0,0,24,12,26,27,0,0,43,39
CA0191900,1992,89,258,2,401,0,17,54,85,6,3,57,5,0,0,0,416,10,0,54,0,1,0,2,61,16,24,16,0,1,22,33
CA0191900,1991,67,177,1,389,0,4,79,94,4,6,59,18,2,0,0,449,3,1,50,0,1,2,0,42,13,26,28,0,1,31,38
CA0191900,1990,109,87,1,497,0,10,127,109,10,3,33,12,3,0,0,493,1,0,58,0,0,0,4,39,14,37,35,0,0,27,44
CA0191900,1989,102,53,3,473,0,41,206,210,7,2,15,13,3,0,0,575,8,1,63,3,0,0,2,36,11,58,28,0,1,31,46
CA0191900,1988,89,81,0,469,0,9,204,219,8,1,22,5,0,0,0,546,2,0,52,2,0,0,3,46,15,40,54,0,2,36,56
CA0191900,1987,63,64,0,343,0,14,251,173,25,0,17,5,0,0,0,446,7,0,44,3,0,0,4,51,21,32,51,0,3,10,40
CA0191900,1986,79,46,2,276,0,17,255,217,1,0,15,18,0,0,0,481,14,0,44,2,1,2,3,56,17,41,32,0,5,20,33
CA0191900,1985,59,85,3,256,0,14,275,244,6,2,23,34,0,0,0,359,37,0,32,0,1,0,3,55,24,39,45,0,4,32,34
