Label,Value,Year
Legacy Rape Reported,2318,1985
Legacy Rape Cleared,976,1985
Legacy Rape Reported,2330,1986
Legacy Rape Cleared,946,1986
Legacy Rape Reported,2169,1987
Legacy Rape Cleared,1129,1987
Legacy Rape Reported,2006,1988
Legacy Rape Cleared,1057,1988
Legacy Rape Reported,1996,1989
Legacy Rape Cleared,970,1989
Legacy Rape Reported,2014,1990
Legacy Rape Cleared,1168,1990
Legacy Rape Reported,1966,1991
Legacy Rape Cleared,1102,1991
Legacy Rape Reported,1872,1992
Legacy Rape Cleared,1046,1992
Legacy Rape Reported,1773,1993
Legacy Rape Cleared,1029,1993
Legacy Rape Reported,1554,1994
Legacy Rape Cleared,910,1994
Legacy Rape Reported,1590,1995
Legacy Rape Cleared,861,1995
Legacy Rape Reported,1463,1996
Legacy Rape Cleared,779,1996
Legacy Rape Reported,1413,1997
Legacy Rape Cleared,658,1997
Legacy Rape Reported,1395,1998
Legacy Rape Cleared,685,1998
Legacy Rape Reported,1288,1999
Legacy Rape Cleared,649,1999
Legacy Rape Reported,1459,2000
Legacy Rape Cleared,737,2000
Legacy Rape Reported,1409,2001
Legacy Rape Cleared,683,2001
Legacy Rape Reported,1415,2002
Legacy Rape Cleared,628,2002
Legacy Rape Reported,1226,2003
Legacy Rape Cleared,802,2003
Legacy Rape Reported,1131,2004
Legacy Rape Cleared,703,2004
Legacy Rape Reported,1105,2005
Legacy Rape Cleared,603,2005
Legacy Rape Reported,1059,2006
Legacy Rape Cleared,593,2006
Legacy Rape Reported,1004,2007
Legacy Rape Cleared,690,2007
Legacy Rape Reported,949,2008
Legacy Rape Cleared,577,2008
Legacy Rape Reported,903,2009
Legacy Rape Cleared,514,2009
Legacy Rape Reported,923,2010
Legacy Rape Cleared,384,2010
Legacy Rape Reported,828,2011
Legacy Rape Cleared,478,2011
Legacy Rape Reported,936,2012
Legacy Rape Cleared,584,2012
Legacy Rape Reported,764,2013
Legacy Rape Cleared,505,2013
Revised Rape Reported,1126,2014
Revised Rape Cleared,648,2014
Revised Rape Reported,2209,2015
Revised Rape Cleared,1206,2015
Revised Rape Reported,2343,2016
Revised Rape Cleared,1303,2016
Revised Rape Reported,2455,2017
Revised Rape Cleared,1167,2017
Revised Rape Reported,2528,2018
Revised Rape Cleared,1266,2018
