Label,Value,Year
Reported,27938,1985
Cleared,5614,1985
Reported,29930,1986
Cleared,6245,1986
Reported,26192,1987
Cleared,6909,1987
Reported,26182,1988
Cleared,6501,1988
Reported,31063,1989
Cleared,6891,1989
Reported,36098,1990
Cleared,9115,1990
Reported,39778,1991
Cleared,8924,1991
Reported,39508,1992
Cleared,8692,1992
Reported,38415,1993
Cleared,8465,1993
Reported,30817,1994
Cleared,6694,1994
Reported,29134,1995
Cleared,6781,1995
Reported,25189,1996
Cleared,5982,1996
Reported,20506,1997
Cleared,4487,1997
Reported,15835,1998
Cleared,4005,1998
Reported,14411,1999
Cleared,3998,1999
Reported,15527,2000
Cleared,3445,2000
Reported,17166,2001
Cleared,3644,2001
Reported,17197,2002
Cleared,3575,2002
Reported,16577,2003
Cleared,4582,2003
Reported,14181,2004
Cleared,3627,2004
Reported,13797,2005
Cleared,3490,2005
Reported,14353,2006
Cleared,3174,2006
Reported,13481,2007
Cleared,3985,2007
Reported,13422,2008
Cleared,3583,2008
Reported,12217,2009
Cleared,2802,2009
Reported,10924,2010
Cleared,1878,2010
Reported,10077,2011
Cleared,2078,2011
Reported,8983,2012
Cleared,2198,2012
Reported,7885,2013
Cleared,1847,2013
Reported,7949,2014
Cleared,2397,2014
Reported,8952,2015
Cleared,2739,2015
Reported,10307,2016
Cleared,3159,2016
Reported,10814,2017
Cleared,3397,2017
Reported,10327,2018
Cleared,3129,2018
