year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,CA0194200,21799,11734,5338,249,63963,8022,777,558,125968,18718,51641,5546,241572,32286,27938,5614,52832,18882
1986,CA0194200,33284,18699,5417,305,64201,7413,834,538,124518,12769,56323,5722,245042,25904,29930,6245,66378,26428
1987,CA0194200,34661,22421,5574,305,52927,7787,811,572,114643,19169,57106,6590,224676,33546,26192,6909,63833,31031
1988,CA0194200,37812,24262,5550,293,50988,7726,736,519,120126,20719,57331,6796,228445,35241,26182,6501,66736,32339
1989,CA0194200,43361,25166,5637,286,51209,7399,877,552,126600,23184,63991,7398,241800,37981,31063,6891,77297,33579
1990,CA0194200,44714,29504,5383,239,51482,8958,983,668,122632,24969,63613,7759,237727,41686,36098,9115,83809,40455
1991,CA0194200,47104,29658,4976,213,57460,8069,1027,702,130234,24343,68655,7110,256349,39522,39778,8924,89875,40386
1992,CA0194200,46445,29058,6263,206,57771,7984,1094,640,123860,21899,67981,6414,249612,36297,39508,8692,88919,39436
1993,CA0194200,42437,27268,5119,250,50232,6977,1076,645,119092,21176,59764,5525,229088,33678,38415,8465,83701,37407
1994,CA0194200,39886,25387,4376,212,43535,6154,845,497,110791,17178,50923,4184,205249,27516,30817,6694,73102,33488
1995,CA0194200,38945,25794,3379,170,41325,6059,849,482,108149,16355,46212,4045,195686,26459,29134,6781,70518,33918
1996,CA0194200,35477,24154,3593,153,35865,5617,711,408,95069,13635,41486,3497,172420,22749,25189,5982,62840,31323
1997,CA0194200,34043,21769,3320,190,30195,4666,576,341,82605,8096,35218,2877,148018,15639,20506,4487,56538,27255
1998,CA0194200,31545,19976,2575,0,26067,4758,426,247,79997,8191,28441,2314,134505,15263,15835,4005,49201,24913
1999,CA0194200,30716,19297,2307,102,21521,4156,425,204,74457,10107,24677,2596,120655,16859,14411,3998,46840,24148
2000,CA0194200,32705,18680,2345,81,24422,3261,550,202,76235,7369,29640,3149,130297,13779,15527,3445,50241,23064
2001,CA0194200,33080,19300,2348,6,25695,3358,588,239,79521,8357,31819,3384,137035,15099,17166,3644,52243,23866
2002,CA0194200,32429,17757,2091,0,25374,3099,654,346,79813,8456,34110,2606,139297,14161,17197,3575,51695,22306
2003,CA0194200,30506,20917,2072,0,25115,4186,515,292,77111,9920,33555,3575,135781,17681,16577,4582,48824,26593
2004,CA0194200,26956,16836,1926,0,23182,3282,518,291,72045,8726,29973,2303,125200,14311,14181,3627,42786,21457
2005,CA0194200,16376,8693,2229,62,22592,3285,489,279,65972,7732,28721,2626,117285,13643,13797,3490,31767,13065
2006,CA0194200,14634,5591,2356,113,20359,2951,480,273,59711,6036,25389,1986,105459,10973,14353,3174,30526,9631
2007,CA0194200,12926,5428,2207,124,19629,2769,395,235,58304,7080,23524,2423,101457,12272,13481,3985,27806,10338
2008,CA0194200,11798,5579,1967,66,19726,2430,384,218,58472,6590,22623,1341,100821,10361,13422,3583,26553,9957
2009,CA0194200,10638,4040,1561,86,18435,2131,312,182,57414,5628,18391,878,94240,8637,12217,2802,24070,7538
2010,CA0194200,9344,2501,1341,79,17410,1404,293,111,55248,4461,17046,485,89704,6350,10924,1878,21484,4874
2011,CA0194200,8843,2702,1376,78,17264,1869,297,116,53469,4435,15597,564,86330,6868,10077,2078,20045,5374
2012,CA0194200,8329,3277,1262,65,16388,2003,299,180,56006,5538,15084,859,87478,8400,8983,2198,18547,6239
2013,CA0194200,7624,3073,1430,70,15728,1970,251,271,55734,5213,14382,911,85844,8094,7885,1847,16524,5696
2014,CA0194200,9836,4653,1137,119,15070,1917,260,197,54281,5391,13788,1120,83139,8428,7949,2397,19171,7895
2015,CA0194200,13713,6613,1131,109,16160,2061,282,192,61191,4959,16152,1352,93503,8372,8952,2739,25156,10750
2016,CA0194200,15874,7824,1241,88,15821,1853,293,215,64739,4867,18591,1602,99151,8322,10307,3159,28817,12501
2017,CA0194200,16957,8033,1414,125,16668,1915,281,208,65757,4510,19193,1865,101618,8290,10814,3397,30507,12805
2018,CA0194200,17013,8164,1049,77,15988,1878,258,197,67963,4448,17316,1940,101267,8266,10327,3129,30126,12756
