year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,CA0250000,23,19,1,1,1,0,21,18,111,36,3,2,41,16,69,19,1,1
1986,CA0250000,20,14,0,0,1,0,19,14,92,13,1,1,41,8,49,5,2,0
1987,CA0250000,21,17,1,1,0,0,20,16,124,27,2,0,59,17,58,8,7,2
1988,CA0250000,18,15,0,0,0,0,18,15,129,29,1,1,58,14,69,14,2,1
1989,CA0250000,33,18,1,1,0,0,32,17,74,12,0,0,32,8,38,2,4,2
1990,CA0250000,42,14,1,0,0,0,40,14,104,5,0,0,48,2,55,2,1,1
1991,CA0250000,33,13,0,0,0,0,33,13,92,8,1,0,34,5,58,3,0,0
1992,CA0250000,47,28,2,1,0,0,39,23,95,12,6,2,37,3,56,9,2,0
1993,CA0250000,54,40,0,0,1,1,53,39,80,8,0,0,29,5,51,3,0,0
1994,CA0250000,46,28,0,0,0,0,45,27,108,21,1,1,46,11,62,10,0,0
1995,CA0250000,58,41,0,0,0,0,55,39,91,30,4,0,42,14,48,15,1,1
1996,CA0250000,44,31,0,0,1,0,40,28,88,9,2,1,37,2,51,7,0,0
1997,CA0250000,59,35,0,0,0,0,58,34,65,12,2,2,26,6,39,6,0,0
1998,CA0250000,46,23,0,0,0,0,45,22,65,11,2,0,31,7,34,4,0,0
1999,CA0250000,26,22,0,0,0,0,24,20,45,12,0,0,14,2,31,10,0,0
2000,CA0250000,32,26,0,0,1,1,31,25,59,8,0,0,23,4,36,4,0,0
2001,CA0250000,9,5,1,1,0,0,6,3,87,4,0,0,39,1,46,2,2,1
2002,CA0250000,23,17,0,0,1,1,17,14,129,24,2,2,62,8,66,16,1,0
2003,CA0250000,14,12,0,0,0,0,14,12,99,29,2,2,43,15,51,11,5,3
2004,CA0250000,8,7,0,0,0,0,7,6,74,15,0,0,33,6,38,7,3,2
2005,CA0250000,10,10,0,0,1,1,9,9,51,11,0,0,16,7,35,4,0,0
2006,CA0250000,33,0,0,0,1,0,28,0,96,0,0,0,40,0,54,0,2,0
2007,CA0250000,19,1,0,0,0,0,17,1,104,3,1,0,43,1,61,2,0,0
2008,CA0250000,18,4,0,0,0,0,15,2,88,1,2,0,34,0,54,1,0,0
2009,CA0250000,8,2,0,0,0,0,7,2,64,4,0,0,33,2,30,2,1,0
2010,CA0250000,12,2,0,0,0,0,8,1,60,9,2,0,37,6,23,3,0,0
2011,CA0250000,24,11,0,0,1,0,16,8,93,18,3,0,36,5,53,10,4,3
2012,CA0250000,33,18,0,0,0,0,25,15,85,10,2,0,36,4,49,6,0,0
2013,CA0250000,41,40,1,1,1,1,31,30,85,19,2,2,34,7,48,9,3,3
2014,CA0250000,20,20,0,0,0,0,20,20,73,3,0,0,30,3,42,0,1,0
2015,CA0250000,34,31,0,0,0,0,33,30,54,7,0,0,18,3,36,4,0,0
2016,CA0250000,19,16,1,1,0,0,15,15,44,2,0,0,9,1,35,1,0,0
2017,CA0250000,19,17,0,0,0,0,19,17,43,1,0,0,9,0,34,1,0,0
2018,CA0250000,27,20,0,0,1,0,23,18,41,4,1,1,15,1,24,1,2,2
