Label,Value,Year
Reported,16363,1985
Cleared,1745,1985
Reported,17533,1986
Cleared,1748,1986
Reported,17370,1987
Cleared,1767,1987
Reported,17536,1988
Cleared,1708,1988
Reported,17495,1989
Cleared,1984,1989
Reported,16691,1990
Cleared,1834,1990
Reported,17088,1991
Cleared,1699,1991
Reported,16437,1992
Cleared,1570,1992
Reported,14583,1993
Cleared,1443,1993
Reported,12889,1994
Cleared,1219,1994
Reported,10311,1995
Cleared,1041,1995
Reported,8608,1996
Cleared,1125,1996
Reported,8159,1997
Cleared,1116,1997
Reported,7349,1998
Cleared,983,1998
Reported,6568,1999
Cleared,778,1999
Reported,6717,2000
Cleared,842,2000
Reported,7219,2001
Cleared,746,2001
Reported,7639,2002
Cleared,931,2002
Reported,8076,2003
Cleared,834,2003
Reported,7305,2004
Cleared,889,2004
Reported,7462,2005
Cleared,1026,2005
Reported,7746,2006
Cleared,1007,2006
Reported,7679,2007
Cleared,910,2007
Reported,7743,2008
Cleared,984,2008
Reported,6693,2009
Cleared,952,2009
Reported,6387,2010
Cleared,841,2010
Reported,5840,2011
Cleared,845,2011
Reported,5902,2012
Cleared,819,2012
Reported,6355,2013
Cleared,876,2013
Reported,5115,2014
Cleared,788,2014
Reported,5129,2015
Cleared,641,2015
Reported,4743,2016
Cleared,531,2016
Reported,3817,2017
Cleared,514,2017
Reported,3752,2018
Cleared,415,2018
