Series,Year,Rate
1985,Male Officers,1741
1985,Female Officers,188
1985,Male Civilians,294
1985,Female Civilians,530
1986,Male Officers,1703
1986,Female Officers,196
1986,Male Civilians,239
1986,Female Civilians,401
1987,Male Officers,1679
1987,Female Officers,191
1987,Male Civilians,251
1987,Female Civilians,438
1988,Male Officers,1614
1988,Female Officers,189
1988,Male Civilians,264
1988,Female Civilians,445
1989,Male Officers,1587
1989,Female Officers,182
1989,Male Civilians,265
1989,Female Civilians,448
1990,Male Officers,1585
1990,Female Officers,198
1990,Male Civilians,177
1990,Female Civilians,316
1991,Male Officers,1623
1991,Female Officers,217
1991,Male Civilians,168
1991,Female Civilians,308
1992,Male Officers,1620
1992,Female Officers,227
1992,Male Civilians,135
1992,Female Civilians,279
1993,Male Officers,1579
1993,Female Officers,225
1993,Male Civilians,117
1993,Female Civilians,272
1994,Male Officers,1565
1994,Female Officers,258
1994,Male Civilians,117
1994,Female Civilians,289
1995,Male Officers,1749
1995,Female Officers,306
1995,Male Civilians,283
1995,Female Civilians,109
1996,Male Officers,1717
1996,Female Officers,303
1996,Male Civilians,107
1996,Female Civilians,289
1997,Male Officers,1698
1997,Female Officers,300
1997,Male Civilians,160
1997,Female Civilians,318
1998,Male Officers,1860
1998,Female Officers,326
1998,Male Civilians,163
1998,Female Civilians,327
1999,Male Officers,1867
1999,Female Officers,338
1999,Male Civilians,142
1999,Female Civilians,215
2000,Male Officers,1894
2000,Female Officers,350
2000,Male Civilians,162
2000,Female Civilians,221
2001,Male Officers,1886
2001,Female Officers,357
2001,Male Civilians,161
2001,Female Civilians,225
2002,Male Officers,1908
2002,Female Officers,366
2002,Male Civilians,162
2002,Female Civilians,225
2003,Male Officers,1841
2003,Female Officers,368
2003,Male Civilians,132
2003,Female Civilians,244
2004,Male Officers,1804
2004,Female Officers,357
2004,Male Civilians,148
2004,Female Civilians,219
2005,Male Officers,1829
2005,Female Officers,364
2005,Male Civilians,146
2005,Female Civilians,214
2006,Male Officers,1834
2006,Female Officers,368
2006,Male Civilians,132
2006,Female Civilians,207
2007,Male Officers,1956
2007,Female Officers,381
2007,Male Civilians,141
2007,Female Civilians,201
2008,Male Officers,2005
2008,Female Officers,386
2008,Male Civilians,159
2008,Female Civilians,223
2009,Male Officers,1981
2009,Female Officers,386
2009,Male Civilians,225
2009,Female Civilians,261
2010,Male Officers,1894
2010,Female Officers,356
2010,Male Civilians,166
2010,Female Civilians,213
2011,Male Officers,1869
2011,Female Officers,341
2011,Male Civilians,190
2011,Female Civilians,250
2012,Male Officers,1838
2012,Female Officers,335
2012,Male Civilians,187
2012,Female Civilians,239
2013,Male Officers,1814
2013,Female Officers,336
2013,Male Civilians,183
2013,Female Civilians,244
2014,Male Officers,1806
2014,Female Officers,331
2014,Male Civilians,195
2014,Female Civilians,256
2015,Male Officers,1981
2015,Female Officers,255
2015,Male Civilians,212
2015,Female Civilians,263
2016,Male Officers,1950
2016,Female Officers,346
2016,Male Civilians,284
2016,Female Civilians,312
2017,Male Officers,1980
2017,Female Officers,352
2017,Male Civilians,276
2017,Female Civilians,327
2018,Male Officers,1966
2018,Female Officers,340
2018,Male Civilians,280
2018,Female Civilians,327
