Label,Value,Year
Reported,197,1986
Cleared,0,1986
Reported,225,1987
Cleared,0,1987
Reported,130,1988
Cleared,0,1988
Reported,130,1989
Cleared,0,1989
Reported,96,1990
Cleared,2,1990
Reported,108,1991
Cleared,1,1991
Reported,65,1992
Cleared,1,1992
Reported,116,1993
Cleared,1,1993
Reported,127,1994
Cleared,1,1994
Reported,119,1995
Cleared,1,1995
Reported,117,1996
Cleared,2,1996
Reported,78,1997
Cleared,1,1997
Reported,71,1998
Cleared,1,1998
Reported,96,1999
Cleared,1,1999
Reported,44,2000
Cleared,0,2000
Reported,45,2001
Cleared,0,2001
Reported,70,2002
Cleared,0,2002
Reported,72,2003
Cleared,3,2003
Reported,57,2004
Cleared,1,2004
Reported,17,2005
Cleared,1,2005
Reported,32,2006
Cleared,4,2006
Reported,14,2007
Cleared,2,2007
Reported,14,2008
Cleared,1,2008
Reported,15,2009
Cleared,0,2009
Reported,4,2010
Cleared,0,2010
Reported,8,2011
Cleared,0,2011
Reported,13,2012
Cleared,0,2012
Reported,8,2013
Cleared,0,2013
Reported,32,2014
Cleared,1,2014
Reported,14,2015
Cleared,1,2015
Reported,26,2016
Cleared,0,2016
Reported,23,2017
Cleared,0,2017
Reported,20,2018
Cleared,0,2018
