year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1986,CA0401300,5,0,0,0,13,0,0,0,181,0,3,0,197,0,0,0
1987,CA0401300,4,0,0,0,0,0,0,0,221,0,4,0,225,0,0,0
1988,CA0401300,3,0,0,0,2,0,0,0,128,0,0,0,130,0,0,0
1989,CA0401300,4,3,1,0,0,0,0,0,130,0,0,0,130,0,0,0
1990,CA0401300,4,4,0,0,0,0,0,0,94,0,2,2,96,2,0,0
1991,CA0401300,4,4,1,0,0,0,0,0,107,0,1,1,108,1,0,0
1992,CA0401300,4,3,0,0,0,0,0,0,64,0,1,1,65,1,0,0
1993,CA0401300,0,0,0,0,0,0,0,0,115,0,1,1,116,1,0,0
1994,CA0401300,1,1,3,1,0,0,0,0,126,0,1,1,127,1,0,0
1995,CA0401300,5,5,0,0,0,0,0,0,118,0,1,1,119,1,0,0
1996,CA0401300,2,1,1,1,0,0,0,0,116,0,1,2,117,2,0,0
1997,CA0401300,1,0,1,1,1,0,0,0,76,0,1,1,78,1,0,0
1998,CA0401300,1,1,0,0,0,0,0,0,70,0,1,1,71,1,0,0
1999,CA0401300,1,1,0,0,0,0,0,0,95,0,1,1,96,1,0,0
2000,CA0401300,1,1,0,0,0,0,0,0,44,0,0,0,44,0,0,0
2001,CA0401300,8,4,0,0,0,0,3,3,45,0,0,0,45,0,0,0
2002,CA0401300,1,1,0,0,2,0,0,0,68,0,0,0,70,0,0,0
2003,CA0401300,6,1,2,0,2,1,0,0,68,2,2,0,72,3,0,0
2004,CA0401300,0,0,0,0,2,0,0,0,54,1,1,0,57,1,0,0
2005,CA0401300,0,0,0,0,0,0,0,0,17,1,0,0,17,1,0,0
2006,CA0401300,0,0,0,0,1,0,0,0,31,3,0,1,32,4,0,0
2007,CA0401300,0,0,0,0,3,1,0,0,11,1,0,0,14,2,0,0
2008,CA0401300,0,0,0,0,3,1,0,0,11,0,0,0,14,1,0,0
2009,CA0401300,2,0,0,0,2,0,0,0,13,0,0,0,15,0,0,0
2010,CA0401300,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
2011,CA0401300,1,0,0,0,1,0,0,0,7,0,0,0,8,0,0,0
2012,CA0401300,1,0,0,0,1,0,0,0,12,0,0,0,13,0,0,0
2013,CA0401300,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0
2014,CA0401300,2,0,0,0,3,1,0,0,29,0,0,0,32,1,0,0
2015,CA0401300,0,0,0,0,1,1,0,0,12,0,1,0,14,1,0,0
2016,CA0401300,1,1,0,0,1,0,0,0,24,0,1,0,26,0,0,0
2017,CA0401300,0,0,0,0,1,0,0,0,22,0,0,0,23,0,0,0
2018,CA0401300,0,0,0,0,1,0,0,0,19,0,0,0,20,0,0,0
