Label,Value,Year
Reported,4,1992
Cleared,3,1992
Reported,11,1993
Cleared,7,1993
Reported,8,1994
Cleared,7,1994
Reported,9,1995
Cleared,6,1995
Reported,10,1996
Cleared,9,1996
Reported,16,1997
Cleared,14,1997
Reported,16,1998
Cleared,9,1998
Reported,5,1999
Cleared,5,1999
Reported,5,2000
Cleared,5,2000
Reported,5,2001
Cleared,5,2001
Reported,5,2002
Cleared,4,2002
Reported,6,2003
Cleared,5,2003
Reported,9,2004
Cleared,6,2004
Reported,2,2005
Cleared,2,2005
Reported,8,2006
Cleared,8,2006
Reported,8,2007
Cleared,6,2007
Reported,2,2008
Cleared,2,2008
Reported,10,2009
Cleared,7,2009
Reported,9,2010
Cleared,4,2010
Reported,4,2011
Cleared,3,2011
Reported,2,2012
Cleared,2,2012
Reported,3,2013
Cleared,3,2013
Reported,5,2014
Cleared,4,2014
Reported,2,2015
Cleared,1,2015
Reported,2,2016
Cleared,0,2016
Reported,4,2017
Cleared,3,2017
Reported,3,2018
Cleared,1,2018
