Label,Value,Year
Reported,48,1992
Cleared,12,1992
Reported,57,1993
Cleared,26,1993
Reported,48,1994
Cleared,9,1994
Reported,55,1995
Cleared,12,1995
Reported,41,1996
Cleared,5,1996
Reported,68,1997
Cleared,15,1997
Reported,64,1998
Cleared,3,1998
Reported,37,1999
Cleared,7,1999
Reported,38,2000
Cleared,8,2000
Reported,53,2001
Cleared,9,2001
Reported,65,2002
Cleared,2,2002
Reported,58,2003
Cleared,9,2003
Reported,81,2004
Cleared,3,2004
Reported,52,2005
Cleared,5,2005
Reported,63,2006
Cleared,8,2006
Reported,74,2007
Cleared,7,2007
Reported,64,2008
Cleared,10,2008
Reported,51,2009
Cleared,8,2009
Reported,62,2010
Cleared,5,2010
Reported,45,2011
Cleared,8,2011
Reported,56,2012
Cleared,10,2012
Reported,46,2013
Cleared,6,2013
Reported,54,2014
Cleared,3,2014
Reported,39,2015
Cleared,6,2015
Reported,60,2016
Cleared,5,2016
Reported,55,2017
Cleared,5,2017
Reported,41,2018
Cleared,6,2018
