Label,Value,Year
Reported,55,1985
Cleared,44,1985
Reported,39,1986
Cleared,28,1986
Reported,24,1987
Cleared,23,1987
Reported,37,1988
Cleared,23,1988
Reported,38,1989
Cleared,34,1989
Reported,35,1990
Cleared,21,1990
Reported,53,1991
Cleared,29,1991
Reported,43,1992
Cleared,27,1992
Reported,41,1993
Cleared,38,1993
Reported,33,1994
Cleared,28,1994
Reported,38,1995
Cleared,31,1995
Reported,40,1996
Cleared,26,1996
Reported,43,1997
Cleared,23,1997
Reported,29,1998
Cleared,22,1998
Reported,25,1999
Cleared,22,1999
Reported,19,2000
Cleared,16,2000
Reported,22,2001
Cleared,11,2001
Reported,26,2002
Cleared,26,2002
Reported,29,2003
Cleared,23,2003
Reported,24,2004
Cleared,20,2004
Reported,26,2005
Cleared,25,2005
Reported,29,2006
Cleared,18,2006
Reported,33,2007
Cleared,24,2007
Reported,31,2008
Cleared,20,2008
Reported,28,2009
Cleared,20,2009
Reported,20,2010
Cleared,14,2010
Reported,39,2011
Cleared,27,2011
Reported,45,2012
Cleared,26,2012
Reported,38,2013
Cleared,24,2013
Reported,32,2014
Cleared,22,2014
Reported,30,2015
Cleared,22,2015
Reported,47,2016
Cleared,24,2016
Reported,32,2017
Cleared,18,2017
Reported,28,2018
Cleared,20,2018
