Label,Value,Year
Reported,2,1997
Cleared,2,1997
Reported,2,1998
Cleared,2,1998
Reported,4,1999
Cleared,4,1999
Reported,0,2000
Cleared,0,2000
Reported,7,2001
Cleared,7,2001
Reported,0,2002
Cleared,0,2002
Reported,2,2003
Cleared,2,2003
Reported,4,2004
Cleared,2,2004
Reported,5,2005
Cleared,4,2005
Reported,3,2006
Cleared,2,2006
Reported,3,2007
Cleared,3,2007
Reported,11,2008
Cleared,8,2008
Reported,11,2009
Cleared,9,2009
Reported,3,2010
Cleared,3,2010
Reported,4,2011
Cleared,3,2011
Reported,2,2012
Cleared,2,2012
Reported,2,2013
Cleared,1,2013
Reported,2,2014
Cleared,1,2014
Reported,1,2015
Cleared,0,2015
Reported,4,2016
Cleared,3,2016
Reported,9,2017
Cleared,7,2017
Reported,12,2018
Cleared,12,2018
