year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1997,CA0470500,2,2,0,0,23,6,0,0,26,10,2,0,51,16,0,0,2,2
1998,CA0470500,2,2,0,0,13,0,0,0,16,2,1,0,30,2,0,0,2,2
1999,CA0470500,3,3,0,0,4,0,0,0,18,2,1,1,23,3,0,0,4,4
2000,CA0470500,0,0,0,0,7,0,0,0,19,5,2,1,28,6,0,0,0,0
2001,CA0470500,7,7,1,0,9,0,0,0,18,4,3,2,30,6,0,0,7,7
2002,CA0470500,0,0,0,0,9,3,0,0,28,8,0,0,37,11,0,0,0,0
2003,CA0470500,2,2,0,0,6,1,0,0,28,10,1,0,35,11,0,0,2,2
2004,CA0470500,4,2,0,0,14,3,0,0,16,0,1,0,31,3,0,0,4,2
2005,CA0470500,3,3,0,0,12,1,0,0,19,2,11,6,42,9,1,0,5,4
2006,CA0470500,3,2,0,0,11,2,0,0,10,2,2,2,23,6,0,0,3,2
2007,CA0470500,3,3,1,1,10,5,0,0,7,0,8,6,25,11,0,0,3,3
2008,CA0470500,6,6,1,0,9,2,0,0,17,10,1,1,27,13,2,2,11,8
2009,CA0470500,9,9,0,0,9,6,0,0,13,3,2,1,24,10,0,0,11,9
2010,CA0470500,3,3,1,1,4,0,0,0,15,6,1,1,20,7,0,0,3,3
2011,CA0470500,4,3,1,0,7,1,0,0,7,3,2,1,16,5,0,0,4,3
2012,CA0470500,2,2,0,0,0,0,0,0,6,3,0,0,6,3,0,0,2,2
2013,CA0470500,2,1,1,1,5,2,0,0,11,8,0,0,16,10,0,0,2,1
2014,CA0470500,2,1,0,0,7,5,0,0,4,4,2,0,13,9,0,0,2,1
2015,CA0470500,1,0,0,0,6,1,0,0,12,5,1,1,19,7,0,0,1,0
2016,CA0470500,3,3,0,0,8,3,0,0,6,2,1,1,15,6,0,0,4,3
2017,CA0470500,6,5,0,0,10,0,1,1,6,0,2,2,18,2,0,0,9,7
2018,CA0470500,10,10,2,2,16,3,0,0,8,0,2,1,26,4,1,1,12,12
