Label,Value,Year
Reported,30,1985
Cleared,26,1985
Reported,25,1986
Cleared,23,1986
Reported,17,1987
Cleared,10,1987
Reported,22,1988
Cleared,23,1988
Reported,15,1989
Cleared,11,1989
Reported,2,1990
Cleared,2,1990
Reported,8,1991
Cleared,6,1991
Reported,14,1992
Cleared,6,1992
Reported,4,1993
Cleared,3,1993
Reported,10,1994
Cleared,7,1994
Reported,14,1995
Cleared,10,1995
Reported,12,1996
Cleared,12,1996
Reported,32,1997
Cleared,28,1997
Reported,25,1998
Cleared,22,1998
Reported,32,1999
Cleared,31,1999
Reported,38,2000
Cleared,33,2000
Reported,40,2001
Cleared,34,2001
Reported,50,2002
Cleared,28,2002
Reported,54,2003
Cleared,39,2003
Reported,90,2004
Cleared,65,2004
Reported,73,2005
Cleared,59,2005
Reported,50,2006
Cleared,29,2006
Reported,29,2007
Cleared,24,2007
Reported,47,2008
Cleared,36,2008
Reported,22,2009
Cleared,10,2009
Reported,37,2010
Cleared,15,2010
Reported,26,2011
Cleared,19,2011
Reported,0,2012
Cleared,0,2012
Reported,0,2013
Cleared,0,2013
Reported,4,2015
Cleared,3,2015
Reported,1,2016
Cleared,0,2016
Reported,33,2017
Cleared,23,2017
Reported,32,2018
Cleared,25,2018
