Label,Value,Year
Reported,115,1985
Cleared,21,1985
Reported,78,1986
Cleared,19,1986
Reported,65,1987
Cleared,13,1987
Reported,72,1988
Cleared,14,1988
Reported,107,1989
Cleared,28,1989
Reported,48,1990
Cleared,5,1990
Reported,91,1991
Cleared,25,1991
Reported,102,1992
Cleared,35,1992
Reported,71,1993
Cleared,15,1993
Reported,69,1994
Cleared,16,1994
Reported,114,1995
Cleared,28,1995
Reported,68,1996
Cleared,9,1996
Reported,65,1997
Cleared,20,1997
Reported,61,1998
Cleared,15,1998
Reported,77,1999
Cleared,12,1999
Reported,66,2000
Cleared,14,2000
Reported,45,2001
Cleared,9,2001
Reported,47,2002
Cleared,10,2002
Reported,68,2003
Cleared,8,2003
Reported,83,2004
Cleared,18,2004
Reported,55,2005
Cleared,13,2005
Reported,73,2006
Cleared,8,2006
Reported,79,2007
Cleared,9,2007
Reported,72,2008
Cleared,18,2008
Reported,65,2009
Cleared,7,2009
Reported,76,2010
Cleared,9,2010
Reported,92,2011
Cleared,8,2011
Reported,0,2012
Cleared,0,2012
Reported,1,2013
Cleared,0,2013
Reported,17,2015
Cleared,0,2015
Reported,2,2016
Cleared,0,2016
Reported,125,2017
Cleared,31,2017
Reported,79,2018
Cleared,17,2018
