Label,Value,Year
Reported,425,1985
Cleared,212,1985
Reported,295,1986
Cleared,106,1986
Reported,394,1987
Cleared,153,1987
Reported,385,1988
Cleared,181,1988
Reported,496,1989
Cleared,224,1989
Reported,256,1990
Cleared,149,1990
Reported,355,1991
Cleared,146,1991
Reported,459,1992
Cleared,198,1992
Reported,497,1993
Cleared,260,1993
Reported,288,1994
Cleared,93,1994
Reported,339,1995
Cleared,173,1995
Reported,344,1996
Cleared,147,1996
Reported,424,1997
Cleared,195,1997
Reported,334,1998
Cleared,114,1998
Reported,320,1999
Cleared,139,1999
Reported,270,2000
Cleared,87,2000
Reported,307,2001
Cleared,125,2001
Reported,296,2002
Cleared,128,2002
Reported,290,2003
Cleared,111,2003
Reported,356,2004
Cleared,126,2004
Reported,245,2005
Cleared,87,2005
Reported,447,2006
Cleared,100,2006
Reported,475,2007
Cleared,135,2007
Reported,359,2008
Cleared,118,2008
Reported,418,2009
Cleared,133,2009
Reported,428,2010
Cleared,136,2010
Reported,477,2011
Cleared,186,2011
Reported,0,2012
Cleared,0,2012
Reported,0,2013
Cleared,0,2013
Reported,74,2015
Cleared,41,2015
Reported,16,2016
Cleared,3,2016
Reported,584,2017
Cleared,263,2017
Reported,450,2018
Cleared,166,2018
