Label,Value,Year
Reported,22,1985
Cleared,11,1985
Reported,19,1986
Cleared,7,1986
Reported,20,1987
Cleared,5,1987
Reported,14,1988
Cleared,8,1988
Reported,23,1989
Cleared,7,1989
Reported,12,1990
Cleared,4,1990
Reported,21,1991
Cleared,4,1991
Reported,32,1992
Cleared,12,1992
Reported,25,1993
Cleared,2,1993
Reported,22,1994
Cleared,8,1994
Reported,16,1995
Cleared,6,1995
Reported,14,1996
Cleared,6,1996
Reported,23,1997
Cleared,5,1997
Reported,8,1998
Cleared,0,1998
Reported,25,1999
Cleared,5,1999
Reported,8,2000
Cleared,2,2000
Reported,18,2001
Cleared,6,2001
Reported,12,2002
Cleared,2,2002
Reported,21,2003
Cleared,2,2003
Reported,22,2004
Cleared,4,2004
Reported,17,2005
Cleared,2,2005
Reported,18,2006
Cleared,4,2006
Reported,11,2007
Cleared,0,2007
Reported,11,2008
Cleared,5,2008
Reported,13,2009
Cleared,4,2009
Reported,10,2010
Cleared,0,2010
Reported,10,2011
Cleared,0,2011
Reported,0,2012
Cleared,0,2012
Reported,0,2013
Cleared,0,2013
Reported,2,2015
Cleared,1,2015
Reported,2,2016
Cleared,0,2016
Reported,14,2017
Cleared,5,2017
Reported,24,2018
Cleared,5,2018
