Label,Value,Year
Reported,562,1985
Cleared,244,1985
Reported,392,1986
Cleared,132,1986
Reported,479,1987
Cleared,171,1987
Reported,471,1988
Cleared,203,1988
Reported,626,1989
Cleared,259,1989
Reported,316,1990
Cleared,158,1990
Reported,467,1991
Cleared,175,1991
Reported,593,1992
Cleared,245,1992
Reported,593,1993
Cleared,277,1993
Reported,379,1994
Cleared,117,1994
Reported,469,1995
Cleared,207,1995
Reported,426,1996
Cleared,162,1996
Reported,512,1997
Cleared,220,1997
Reported,403,1998
Cleared,129,1998
Reported,422,1999
Cleared,156,1999
Reported,344,2000
Cleared,103,2000
Reported,370,2001
Cleared,140,2001
Reported,355,2002
Cleared,140,2002
Reported,379,2003
Cleared,121,2003
Reported,461,2004
Cleared,148,2004
Reported,317,2005
Cleared,102,2005
Reported,538,2006
Cleared,112,2006
Reported,565,2007
Cleared,144,2007
Reported,442,2008
Cleared,141,2008
Reported,496,2009
Cleared,144,2009
Reported,514,2010
Cleared,145,2010
Reported,579,2011
Cleared,194,2011
Reported,0,2012
Cleared,0,2012
Reported,1,2013
Cleared,0,2013
Reported,93,2015
Cleared,42,2015
Reported,20,2016
Cleared,3,2016
Reported,723,2017
Cleared,299,2017
Reported,553,2018
Cleared,188,2018
