Label,Value,Year
Reported,6,1985
Cleared,2,1985
Reported,4,1986
Cleared,1,1986
Reported,5,1987
Cleared,2,1987
Reported,4,1988
Cleared,3,1988
Reported,3,1989
Cleared,2,1989
Reported,1,1990
Cleared,0,1990
Reported,5,1991
Cleared,3,1991
Reported,1,1992
Cleared,0,1992
Reported,9,1993
Cleared,1,1993
Reported,9,1994
Cleared,3,1994
Reported,3,1995
Cleared,1,1995
Reported,5,1996
Cleared,3,1996
Reported,4,1997
Cleared,1,1997
Reported,7,1998
Cleared,4,1998
Reported,5,1999
Cleared,2,1999
Reported,5,2000
Cleared,4,2000
Reported,2,2001
Cleared,1,2001
Reported,5,2002
Cleared,3,2002
Reported,3,2003
Cleared,0,2003
Reported,4,2004
Cleared,2,2004
Reported,5,2005
Cleared,1,2005
Reported,6,2006
Cleared,1,2006
Reported,16,2007
Cleared,8,2007
Reported,5,2008
Cleared,1,2008
Reported,2,2009
Cleared,1,2009
Reported,18,2010
Cleared,3,2010
Reported,5,2011
Cleared,7,2011
Reported,0,2012
Cleared,0,2012
Reported,0,2013
Cleared,0,2013
Reported,1,2015
Cleared,0,2015
Reported,0,2016
Cleared,0,2016
Reported,6,2017
Cleared,4,2017
Reported,9,2018
Cleared,4,2018
