Label,Value,Year
Reported,39,1985
Cleared,31,1985
Reported,31,1986
Cleared,26,1986
Reported,24,1987
Cleared,13,1987
Reported,28,1988
Cleared,28,1988
Reported,20,1989
Cleared,14,1989
Reported,3,1990
Cleared,2,1990
Reported,13,1991
Cleared,9,1991
Reported,26,1992
Cleared,10,1992
Reported,33,1993
Cleared,15,1993
Reported,26,1994
Cleared,15,1994
Reported,26,1995
Cleared,18,1995
Reported,27,1996
Cleared,20,1996
Reported,41,1997
Cleared,31,1997
Reported,44,1998
Cleared,28,1998
Reported,48,1999
Cleared,36,1999
Reported,54,2000
Cleared,43,2000
Reported,48,2001
Cleared,36,2001
Reported,64,2002
Cleared,34,2002
Reported,64,2003
Cleared,39,2003
Reported,96,2004
Cleared,68,2004
Reported,83,2005
Cleared,60,2005
Reported,62,2006
Cleared,31,2006
Reported,57,2007
Cleared,37,2007
Reported,60,2008
Cleared,38,2008
Reported,32,2009
Cleared,14,2009
Reported,64,2010
Cleared,22,2010
Reported,43,2011
Cleared,40,2011
Reported,0,2012
Cleared,0,2012
Reported,0,2013
Cleared,0,2013
Reported,5,2015
Cleared,3,2015
Reported,3,2016
Cleared,0,2016
Reported,51,2017
Cleared,32,2017
Reported,59,2018
Cleared,31,2018
