year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,CO0020100,30,26,7,1,115,21,425,212,22,11,562,244,6,2
1986,CO0020100,25,23,6,3,78,19,295,106,19,7,392,132,4,1
1987,CO0020100,17,10,4,2,65,13,394,153,20,5,479,171,5,2
1988,CO0020100,22,23,6,0,72,14,385,181,14,8,471,203,4,3
1989,CO0020100,15,11,2,0,107,28,496,224,23,7,626,259,3,2
1990,CO0020100,2,2,0,0,48,5,256,149,12,4,316,158,1,0
1991,CO0020100,8,6,9,1,91,25,355,146,21,4,467,175,5,3
1992,CO0020100,14,6,8,1,102,35,459,198,32,12,593,245,1,0
1993,CO0020100,4,3,0,0,71,15,497,260,25,2,593,277,9,1
1994,CO0020100,10,7,0,0,69,16,288,93,22,8,379,117,9,3
1995,CO0020100,14,10,0,0,114,28,339,173,16,6,469,207,3,1
1996,CO0020100,12,12,0,0,68,9,344,147,14,6,426,162,5,3
1997,CO0020100,32,28,1,0,65,20,424,195,23,5,512,220,4,1
1998,CO0020100,25,22,0,0,61,15,334,114,8,0,403,129,7,4
1999,CO0020100,32,31,0,0,77,12,320,139,25,5,422,156,5,2
2000,CO0020100,38,33,0,0,66,14,270,87,8,2,344,103,5,4
2001,CO0020100,40,34,3,1,45,9,307,125,18,6,370,140,2,1
2002,CO0020100,50,28,7,0,47,10,296,128,12,2,355,140,5,3
2003,CO0020100,54,39,0,0,68,8,290,111,21,2,379,121,3,0
2004,CO0020100,90,65,1,0,83,18,356,126,22,4,461,148,4,2
2005,CO0020100,73,59,0,0,55,13,245,87,17,2,317,102,5,1
2006,CO0020100,50,29,0,0,73,8,447,100,18,4,538,112,6,1
2007,CO0020100,29,24,3,0,79,9,475,135,11,0,565,144,16,8
2008,CO0020100,47,36,7,3,72,18,359,118,11,5,442,141,5,1
2009,CO0020100,22,10,5,2,65,7,418,133,13,4,496,144,2,1
2010,CO0020100,37,15,2,0,76,9,428,136,10,0,514,145,18,3
2011,CO0020100,26,19,4,0,92,8,477,186,10,0,579,194,5,7
2012,CO0020100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,CO0020100,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2015,CO0020100,4,3,0,0,17,0,74,41,2,1,93,42,1,0
2016,CO0020100,1,0,0,0,2,0,16,3,2,0,20,3,0,0
2017,CO0020100,33,23,6,2,125,31,584,263,14,5,723,299,6,4
2018,CO0020100,32,25,5,1,79,17,450,166,24,5,553,188,9,4
