Series,Year,Rate
1985,Male Officers,26
1985,Female Officers,0
1985,Male Civilians,0
1985,Female Civilians,8
1986,Male Officers,25
1986,Female Officers,0
1986,Male Civilians,1
1986,Female Civilians,7
1987,Male Officers,25
1987,Female Officers,0
1987,Male Civilians,1
1987,Female Civilians,7
1988,Male Officers,26
1988,Female Officers,1
1988,Male Civilians,1
1988,Female Civilians,7
1989,Male Officers,26
1989,Female Officers,1
1989,Male Civilians,2
1989,Female Civilians,6
1990,Male Officers,25
1990,Female Officers,2
1990,Male Civilians,1
1990,Female Civilians,7
1991,Male Officers,26
1991,Female Officers,1
1991,Male Civilians,3
1991,Female Civilians,6
1992,Male Officers,26
1992,Female Officers,2
1992,Male Civilians,4
1992,Female Civilians,5
1993,Male Officers,28
1993,Female Officers,2
1993,Male Civilians,1
1993,Female Civilians,7
1994,Male Officers,26
1994,Female Officers,2
1994,Male Civilians,1
1994,Female Civilians,8
1995,Male Officers,27
1995,Female Officers,2
1995,Male Civilians,2
1995,Female Civilians,8
1996,Male Officers,26
1996,Female Officers,2
1996,Male Civilians,3
1996,Female Civilians,8
1997,Male Officers,27
1997,Female Officers,2
1997,Male Civilians,2
1997,Female Civilians,8
1998,Male Officers,28
1998,Female Officers,1
1998,Male Civilians,2
1998,Female Civilians,8
1999,Male Officers,28
1999,Female Officers,1
1999,Male Civilians,1
1999,Female Civilians,9
2000,Male Officers,26
2000,Female Officers,2
2000,Male Civilians,3
2000,Female Civilians,8
2001,Male Officers,22
2001,Female Officers,5
2001,Male Civilians,5
2001,Female Civilians,5
2002,Male Officers,22
2002,Female Officers,4
2002,Male Civilians,6
2002,Female Civilians,8
2003,Male Officers,20
2003,Female Officers,4
2003,Male Civilians,6
2003,Female Civilians,6
2004,Male Officers,19
2004,Female Officers,4
2004,Male Civilians,4
2004,Female Civilians,7
2005,Male Officers,18
2005,Female Officers,5
2005,Male Civilians,3
2005,Female Civilians,10
2006,Male Officers,17
2006,Female Officers,7
2006,Male Civilians,3
2006,Female Civilians,8
2007,Male Officers,17
2007,Female Officers,6
2007,Male Civilians,4
2007,Female Civilians,9
2008,Male Officers,17
2008,Female Officers,7
2008,Male Civilians,3
2008,Female Civilians,11
2009,Male Officers,22
2009,Female Officers,2
2009,Male Civilians,5
2009,Female Civilians,9
2010,Male Officers,22
2010,Female Officers,2
2010,Male Civilians,3
2010,Female Civilians,9
2011,Male Officers,24
2011,Female Officers,3
2011,Male Civilians,3
2011,Female Civilians,9
2012,Male Officers,25
2012,Female Officers,2
2012,Male Civilians,2
2012,Female Civilians,9
2013,Male Officers,23
2013,Female Officers,1
2013,Male Civilians,1
2013,Female Civilians,8
2014,Male Officers,24
2014,Female Officers,2
2014,Male Civilians,1
2014,Female Civilians,8
2015,Male Officers,22
2015,Female Officers,2
2015,Male Civilians,1
2015,Female Civilians,8
2016,Male Officers,21
2016,Female Officers,4
2016,Male Civilians,2
2016,Female Civilians,9
2017,Male Officers,22
2017,Female Officers,5
2017,Male Civilians,3
2017,Female Civilians,10
2018,Male Officers,23
2018,Female Officers,5
2018,Male Civilians,1
2018,Female Civilians,10
