Label,Value,Year
Reported,53,1985
Cleared,40,1985
Reported,36,1986
Cleared,30,1986
Reported,17,1987
Cleared,15,1987
Reported,40,1988
Cleared,22,1988
Reported,29,1989
Cleared,24,1989
Reported,35,1990
Cleared,34,1990
Reported,28,1991
Cleared,27,1991
Reported,28,1992
Cleared,19,1992
Reported,45,1993
Cleared,33,1993
Reported,45,1994
Cleared,30,1994
Reported,41,1995
Cleared,33,1995
Reported,53,1996
Cleared,49,1996
Reported,89,1997
Cleared,70,1997
Reported,116,1998
Cleared,85,1998
Reported,35,1999
Cleared,31,1999
Reported,38,2000
Cleared,27,2000
Reported,70,2001
Cleared,54,2001
Reported,14,2002
Cleared,8,2002
Reported,13,2003
Cleared,12,2003
Reported,12,2004
Cleared,7,2004
Reported,4,2005
Cleared,4,2005
Reported,18,2006
Cleared,9,2006
Reported,13,2007
Cleared,11,2007
Reported,10,2008
Cleared,6,2008
Reported,8,2009
Cleared,4,2009
Reported,8,2010
Cleared,5,2010
Reported,7,2011
Cleared,2,2011
Reported,10,2012
Cleared,5,2012
Reported,12,2013
Cleared,4,2013
Reported,14,2014
Cleared,8,2014
Reported,8,2015
Cleared,8,2015
Reported,13,2016
Cleared,8,2016
Reported,12,2017
Cleared,7,2017
Reported,6,2018
Cleared,3,2018
