Label,Value,Year
Reported,6,1985
Cleared,2,1985
Reported,8,1986
Cleared,0,1986
Reported,6,1987
Cleared,1,1987
Reported,3,1988
Cleared,0,1988
Reported,6,1989
Cleared,1,1989
Reported,2,1990
Cleared,0,1990
Reported,3,1991
Cleared,0,1991
Reported,11,1992
Cleared,3,1992
Reported,5,1993
Cleared,0,1993
Reported,3,1994
Cleared,1,1994
Reported,2,1995
Cleared,1,1995
Reported,1,1996
Cleared,1,1996
Reported,1,1997
Cleared,0,1997
Reported,0,1998
Cleared,0,1998
Reported,5,1999
Cleared,4,1999
Reported,0,2000
Cleared,0,2000
Reported,0,2001
Cleared,0,2001
Reported,0,2002
Cleared,0,2002
Reported,1,2003
Cleared,0,2003
Reported,1,2004
Cleared,0,2004
Reported,3,2005
Cleared,1,2005
Reported,2,2006
Cleared,0,2006
Reported,0,2007
Cleared,0,2007
Reported,2,2008
Cleared,1,2008
Reported,1,2009
Cleared,1,2009
Reported,3,2010
Cleared,0,2010
Reported,3,2011
Cleared,0,2011
Reported,1,2012
Cleared,1,2012
Reported,1,2013
Cleared,1,2013
Reported,2,2014
Cleared,0,2014
Reported,0,2015
Cleared,0,2015
Reported,1,2016
Cleared,1,2016
Reported,1,2017
Cleared,0,2017
Reported,2,2018
Cleared,1,2018
