Label,Value,Year
Reported,277,1985
Cleared,83,1985
Reported,272,1986
Cleared,50,1986
Reported,268,1987
Cleared,65,1987
Reported,349,1988
Cleared,93,1988
Reported,303,1989
Cleared,71,1989
Reported,423,1990
Cleared,221,1990
Reported,381,1991
Cleared,163,1991
Reported,326,1992
Cleared,76,1992
Reported,364,1993
Cleared,67,1993
Reported,347,1994
Cleared,73,1994
Reported,307,1995
Cleared,61,1995
Reported,319,1996
Cleared,64,1996
Reported,398,1997
Cleared,101,1997
Reported,287,1998
Cleared,96,1998
Reported,250,1999
Cleared,57,1999
Reported,161,2000
Cleared,42,2000
Reported,206,2001
Cleared,38,2001
Reported,337,2002
Cleared,47,2002
Reported,274,2003
Cleared,63,2003
Reported,304,2004
Cleared,42,2004
Reported,305,2005
Cleared,57,2005
Reported,298,2006
Cleared,66,2006
Reported,290,2007
Cleared,68,2007
Reported,269,2008
Cleared,77,2008
Reported,280,2009
Cleared,75,2009
Reported,252,2010
Cleared,46,2010
Reported,283,2011
Cleared,79,2011
Reported,318,2012
Cleared,85,2012
Reported,284,2013
Cleared,67,2013
Reported,281,2014
Cleared,63,2014
Reported,267,2015
Cleared,59,2015
Reported,245,2016
Cleared,41,2016
Reported,282,2017
Cleared,60,2017
Reported,354,2018
Cleared,65,2018
