Label,Value,Year
Reported,40,1985
Cleared,14,1985
Reported,42,1986
Cleared,30,1986
Reported,49,1987
Cleared,27,1987
Reported,69,1988
Cleared,32,1988
Reported,63,1989
Cleared,34,1989
Reported,65,1990
Cleared,41,1990
Reported,102,1991
Cleared,69,1991
Reported,62,1992
Cleared,11,1992
Reported,81,1993
Cleared,31,1993
Reported,40,1994
Cleared,6,1994
Reported,28,1995
Cleared,21,1995
Reported,51,1996
Cleared,25,1996
Reported,99,1997
Cleared,19,1997
Reported,56,1998
Cleared,15,1998
Reported,67,1999
Cleared,9,1999
Reported,46,2000
Cleared,4,2000
Reported,61,2001
Cleared,11,2001
Reported,45,2002
Cleared,5,2002
Reported,49,2003
Cleared,5,2003
Reported,46,2004
Cleared,3,2004
Reported,51,2005
Cleared,3,2005
Reported,36,2006
Cleared,5,2006
Reported,53,2007
Cleared,9,2007
Reported,36,2008
Cleared,2,2008
Reported,38,2009
Cleared,7,2009
Reported,39,2010
Cleared,0,2010
Reported,41,2011
Cleared,1,2011
Reported,59,2012
Cleared,7,2012
Reported,50,2013
Cleared,0,2013
Reported,30,2014
Cleared,1,2014
Reported,40,2015
Cleared,2,2015
Reported,41,2016
Cleared,1,2016
Reported,49,2017
Cleared,6,2017
Reported,60,2018
Cleared,8,2018
