Label,Value,Year
Reported,425,1985
Cleared,114,1985
Reported,460,1986
Cleared,101,1986
Reported,435,1987
Cleared,112,1987
Reported,629,1988
Cleared,144,1988
Reported,556,1989
Cleared,132,1989
Reported,604,1990
Cleared,275,1990
Reported,573,1991
Cleared,239,1991
Reported,479,1992
Cleared,90,1992
Reported,531,1993
Cleared,115,1993
Reported,483,1994
Cleared,89,1994
Reported,385,1995
Cleared,94,1995
Reported,474,1996
Cleared,105,1996
Reported,613,1997
Cleared,137,1997
Reported,414,1998
Cleared,130,1998
Reported,366,1999
Cleared,72,1999
Reported,252,2000
Cleared,49,2000
Reported,323,2001
Cleared,54,2001
Reported,442,2002
Cleared,63,2002
Reported,363,2003
Cleared,78,2003
Reported,395,2004
Cleared,57,2004
Reported,418,2005
Cleared,76,2005
Reported,386,2006
Cleared,77,2006
Reported,381,2007
Cleared,80,2007
Reported,349,2008
Cleared,90,2008
Reported,354,2009
Cleared,89,2009
Reported,327,2010
Cleared,50,2010
Reported,373,2011
Cleared,86,2011
Reported,459,2012
Cleared,106,2012
Reported,393,2013
Cleared,83,2013
Reported,373,2014
Cleared,67,2014
Reported,354,2015
Cleared,68,2015
Reported,332,2016
Cleared,54,2016
Reported,355,2017
Cleared,77,2017
Reported,443,2018
Cleared,77,2018
