Label,Value,Year
Reported,119,1985
Cleared,88,1985
Reported,54,1986
Cleared,44,1986
Reported,52,1987
Cleared,28,1987
Reported,78,1988
Cleared,38,1988
Reported,70,1989
Cleared,40,1989
Reported,74,1990
Cleared,49,1990
Reported,55,1991
Cleared,48,1991
Reported,42,1992
Cleared,27,1992
Reported,63,1993
Cleared,39,1993
Reported,73,1994
Cleared,44,1994
Reported,64,1995
Cleared,42,1995
Reported,80,1996
Cleared,64,1996
Reported,120,1997
Cleared,88,1997
Reported,152,1998
Cleared,107,1998
Reported,59,1999
Cleared,48,1999
Reported,58,2000
Cleared,35,2000
Reported,83,2001
Cleared,61,2001
Reported,42,2002
Cleared,20,2002
Reported,25,2003
Cleared,18,2003
Reported,27,2004
Cleared,15,2004
Reported,17,2005
Cleared,9,2005
Reported,28,2006
Cleared,13,2006
Reported,38,2007
Cleared,22,2007
Reported,26,2008
Cleared,15,2008
Reported,36,2009
Cleared,15,2009
Reported,28,2010
Cleared,11,2010
Reported,31,2011
Cleared,9,2011
Reported,30,2012
Cleared,12,2012
Reported,33,2013
Cleared,10,2013
Reported,38,2014
Cleared,14,2014
Reported,25,2015
Cleared,11,2015
Reported,28,2016
Cleared,10,2016
Reported,24,2017
Cleared,12,2017
Reported,28,2018
Cleared,7,2018
