Label,Value,Year
Reported,7735,1985
Cleared,4740,1985
Reported,8385,1986
Cleared,5126,1986
Reported,8991,1987
Cleared,5035,1987
Reported,10292,1989
Cleared,0,1989
Reported,10747,1990
Cleared,6612,1990
Reported,10371,1991
Cleared,6837,1991
Reported,10650,1992
Cleared,6432,1992
Reported,12057,1993
Cleared,6653,1993
Reported,11605,1994
Cleared,6745,1994
Reported,11326,1995
Cleared,6443,1995
Reported,10717,1997
Cleared,-5835,1997
Reported,9587,1998
Cleared,5395,1998
Reported,8407,1999
Cleared,4667,1999
Reported,8261,2000
Cleared,11937,2000
Reported,8452,2001
Cleared,4193,2001
Reported,8115,2002
Cleared,4478,2002
Reported,7881,2003
Cleared,3917,2003
Reported,6360,2004
Cleared,3100,2004
Reported,6420,2005
Cleared,5024,2005
Reported,6180,2006
Cleared,2599,2006
Reported,5498,2007
Cleared,2204,2007
Reported,5763,2008
Cleared,4679,2008
Reported,5142,2009
Cleared,2370,2009
Reported,4806,2010
Cleared,2185,2010
Reported,4664,2011
Cleared,1979,2011
Reported,4012,2012
Cleared,2002,2012
Reported,3661,2013
Cleared,1845,2013
Reported,4231,2014
Cleared,1995,2014
Reported,4053,2015
Cleared,1786,2015
Reported,4248,2016
Cleared,1729,2016
Reported,4010,2017
Cleared,1692,2017
