Label,Value,Year
Reported,43556,1985
Cleared,6359,1985
Reported,47676,1986
Cleared,7492,1986
Reported,49858,1987
Cleared,8859,1987
Reported,56696,1989
Cleared,0,1989
Reported,58249,1990
Cleared,10065,1990
Reported,61716,1991
Cleared,10400,1991
Reported,61882,1992
Cleared,8947,1992
Reported,70310,1993
Cleared,11618,1993
Reported,72578,1994
Cleared,11475,1994
Reported,71286,1995
Cleared,12280,1995
Reported,63539,1997
Cleared,10389,1997
Reported,58254,1998
Cleared,9650,1998
Reported,52514,1999
Cleared,9007,1999
Reported,48384,2000
Cleared,7926,2000
Reported,47702,2001
Cleared,8312,2001
Reported,45060,2002
Cleared,7652,2002
Reported,46719,2003
Cleared,7455,2003
Reported,38531,2004
Cleared,6211,2004
Reported,33802,2005
Cleared,4974,2005
Reported,33552,2006
Cleared,4824,2006
Reported,35866,2007
Cleared,5147,2007
Reported,36211,2008
Cleared,5832,2008
Reported,33643,2009
Cleared,5381,2009
Reported,32357,2010
Cleared,4764,2010
Reported,30843,2011
Cleared,4376,2011
Reported,29989,2012
Cleared,4356,2012
Reported,29686,2013
Cleared,4593,2013
Reported,29213,2014
Cleared,4822,2014
Reported,28314,2015
Cleared,5039,2015
Reported,28416,2016
Cleared,4136,2016
Reported,27223,2017
Cleared,2983,2017
