Label,Value,Year
Reported,10500,1985
Cleared,952,1985
Reported,12618,1986
Cleared,1366,1986
Reported,14755,1987
Cleared,1837,1987
Reported,18691,1989
Cleared,0,1989
Reported,18020,1990
Cleared,2029,1990
Reported,18816,1991
Cleared,2475,1991
Reported,18180,1992
Cleared,2222,1992
Reported,21833,1993
Cleared,2391,1993
Reported,22201,1994
Cleared,2300,1994
Reported,20456,1995
Cleared,1852,1995
Reported,16977,1997
Cleared,1521,1997
Reported,15448,1998
Cleared,1419,1998
Reported,12197,1999
Cleared,1343,1999
Reported,11418,2000
Cleared,972,2000
Reported,11355,2001
Cleared,970,2001
Reported,9995,2002
Cleared,937,2002
Reported,9655,2003
Cleared,809,2003
Reported,7538,2004
Cleared,780,2004
Reported,7025,2005
Cleared,704,2005
Reported,7048,2006
Cleared,634,2006
Reported,6880,2007
Cleared,536,2007
Reported,6217,2008
Cleared,587,2008
Reported,4923,2009
Cleared,416,2009
Reported,4430,2010
Cleared,339,2010
Reported,4228,2011
Cleared,316,2011
Reported,3430,2012
Cleared,323,2012
Reported,3263,2013
Cleared,317,2013
Reported,3138,2014
Cleared,273,2014
Reported,3223,2015
Cleared,352,2015
Reported,3297,2016
Cleared,382,2016
Reported,3502,2017
Cleared,340,2017
