Label,Value,Year
Reported,76262,1985
Cleared,10620,1985
Reported,85066,1986
Cleared,13647,1986
Reported,91606,1987
Cleared,16287,1987
Reported,104993,1989
Cleared,0,1989
Reported,105286,1990
Cleared,17261,1990
Reported,106637,1991
Cleared,17980,1991
Reported,103076,1992
Cleared,15119,1992
Reported,119176,1993
Cleared,18252,1993
Reported,118171,1994
Cleared,17736,1994
Reported,112252,1995
Cleared,17681,1995
Reported,99739,1997
Cleared,14508,1997
Reported,90332,1998
Cleared,13294,1998
Reported,78906,1999
Cleared,12335,1999
Reported,73340,2000
Cleared,10691,2000
Reported,70746,2001
Cleared,11012,2001
Reported,66503,2002
Cleared,10234,2002
Reported,67939,2003
Cleared,9636,2003
Reported,54834,2004
Cleared,8165,2004
Reported,50208,2005
Cleared,6677,2005
Reported,49794,2006
Cleared,6552,2006
Reported,52483,2007
Cleared,6737,2007
Reported,51712,2008
Cleared,7668,2008
Reported,47849,2009
Cleared,6913,2009
Reported,45341,2010
Cleared,6042,2010
Reported,44395,2011
Cleared,5570,2011
Reported,41270,2012
Cleared,5561,2012
Reported,40043,2013
Cleared,5737,2013
Reported,38791,2014
Cleared,5923,2014
Reported,36917,2015
Cleared,5976,2015
Reported,36318,2016
Cleared,5076,2016
Reported,35112,2017
Cleared,3856,2017
