year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,FL0130000,13064,6145,177,98,4604,1015,7735,4740,76262,10620,355,27,22206,3309,43556,6359,10500,952
1986,FL0130000,14934,6760,162,80,5798,1204,8385,5126,85066,13647,522,0,24772,4789,47676,7492,12618,1366
1987,FL0130000,15579,6786,173,86,5850,1281,8991,5035,91606,16287,534,76,26993,5591,49858,8859,14755,1837
1989,FL0130000,19140,0,203,0,7877,0,10292,0,104993,0,283,0,29606,0,56696,0,18691,0
1990,FL0130000,20130,8620,213,93,8368,1591,10747,6612,105286,17261,394,74,29017,5167,58249,10065,18020,2029
1991,FL0130000,20124,9548,172,98,8818,2134,10371,6837,106637,17980,134,48,26105,5105,61716,10400,18816,2475
1992,FL0130000,18949,8590,162,90,7488,1660,10650,6432,103076,15119,98,42,23014,3950,61882,8947,18180,2222
1993,FL0130000,20761,8493,183,94,7878,1444,12057,6653,119176,18252,117,43,27033,4243,70310,11618,21833,2391
1994,FL0130000,19518,8752,162,101,7021,1573,11605,6745,118171,17736,161,49,23392,3961,72578,11475,22201,2300
1995,FL0130000,18560,8277,160,79,6406,1438,11326,6443,112252,17681,112,26,20510,3549,71286,12280,20456,1852
1997,FL0130000,16995,-4110,162,73,5273,1191,10717,-5835,99739,14508,140,41,19223,2598,63539,10389,16977,1521
1998,FL0130000,14675,6994,120,64,4195,1082,9587,5395,90332,13294,281,41,16630,2225,58254,9650,15448,1419
1999,FL0130000,12628,6234,101,91,3478,1049,8407,4667,78906,12335,529,32,14195,1985,52514,9007,12197,1343
2000,FL0130000,12604,13139,101,47,3516,839,8261,11937,73340,10691,439,19,13538,1793,48384,7926,11418,972
2001,FL0130000,12309,5314,89,43,3260,888,8452,4193,70746,11012,427,29,11689,1730,47702,8312,11355,970
2002,FL0130000,11901,5568,94,72,3198,789,8115,4478,66503,10234,192,26,11448,1645,45060,7652,9995,937
2003,FL0130000,11583,5019,95,50,3019,878,7881,3917,67939,9636,194,20,11565,1372,46719,7455,9655,809
2004,FL0130000,9193,4003,88,70,2281,671,6360,3100,54834,8165,262,11,8765,1174,38531,6211,7538,780
2005,FL0130000,9263,5714,70,41,2341,511,6420,5024,50208,6677,179,7,9381,999,33802,4974,7025,704
2006,FL0130000,9047,3333,98,50,2356,523,6180,2599,49794,6552,147,8,9194,1094,33552,4824,7048,634
2007,FL0130000,8614,3047,84,41,2679,633,5498,2204,52483,6737,89,3,9737,1054,35866,5147,6880,536
2008,FL0130000,8749,5613,95,59,2552,707,5763,4679,51712,7668,82,5,9284,1249,36211,5832,6217,587
2009,FL0130000,7815,3177,86,43,2314,630,5142,2370,47849,6913,70,5,9283,1116,33643,5381,4923,416
2010,FL0130000,6927,2927,87,35,1782,562,4806,2185,45341,6042,28,4,8554,939,32357,4764,4430,339
2011,FL0130000,6913,2762,90,37,1848,586,4664,1979,44395,5570,12,0,9324,878,30843,4376,4228,316
2012,FL0130000,6046,2788,81,34,1686,578,4012,2002,41270,5561,53,22,7851,882,29989,4356,3430,323
2013,FL0130000,6057,2855,87,35,1861,615,3661,1845,40043,5737,63,24,7094,827,29686,4593,3263,317
2014,FL0130000,6571,2909,84,37,1835,616,4231,1995,38791,5923,28,20,6440,828,29213,4822,3138,273
2015,FL0130000,6179,2584,86,36,1661,516,4053,1786,36917,5976,25,14,5380,585,28314,5039,3223,352
2016,FL0130000,6278,2400,84,41,1537,405,4248,1729,36318,5076,25,9,4605,558,28416,4136,3297,382
2017,FL0130000,5957,2361,90,45,1383,405,4010,1692,35112,3856,44,14,4387,533,27223,2983,3502,340
