Label,Value,Year
Reported,415,1985
Cleared,15,1985
Reported,447,1986
Cleared,0,1986
Reported,491,1987
Cleared,104,1987
Reported,345,1989
Cleared,0,1989
Reported,418,1990
Cleared,91,1990
Reported,397,1991
Cleared,72,1991
Reported,363,1992
Cleared,66,1992
Reported,387,1993
Cleared,59,1993
Reported,423,1994
Cleared,66,1994
Reported,395,1995
Cleared,46,1995
Reported,442,1996
Cleared,0,1996
Reported,409,1997
Cleared,0,1997
Reported,376,1998
Cleared,37,1998
Reported,309,1999
Cleared,25,1999
Reported,326,2000
Cleared,27,2000
Reported,311,2001
Cleared,40,2001
Reported,297,2002
Cleared,37,2002
Reported,283,2003
Cleared,34,2003
Reported,251,2004
Cleared,46,2004
Reported,182,2005
Cleared,29,2005
Reported,172,2006
Cleared,22,2006
Reported,187,2007
Cleared,32,2007
Reported,122,2008
Cleared,11,2008
Reported,103,2009
Cleared,20,2009
Reported,99,2010
Cleared,21,2010
Reported,108,2011
Cleared,0,2011
Reported,80,2012
Cleared,24,2012
Reported,97,2013
Cleared,14,2013
Reported,92,2014
Cleared,9,2014
Reported,71,2015
Cleared,12,2015
Reported,83,2016
Cleared,21,2016
Reported,96,2017
Cleared,20,2017
