Label,Value,Year
Reported,13663,1985
Cleared,1599,1985
Reported,16498,1986
Cleared,2077,1986
Reported,20745,1987
Cleared,2420,1987
Reported,19708,1989
Cleared,0,1989
Reported,17529,1990
Cleared,2196,1990
Reported,17306,1991
Cleared,2369,1991
Reported,16304,1992
Cleared,1919,1992
Reported,15127,1993
Cleared,1836,1993
Reported,14327,1994
Cleared,1629,1994
Reported,12491,1995
Cleared,1309,1995
Reported,13171,1996
Cleared,0,1996
Reported,12343,1997
Cleared,0,1997
Reported,10849,1998
Cleared,1248,1998
Reported,9651,1999
Cleared,0,1999
Reported,9955,2000
Cleared,1568,2000
Reported,9903,2001
Cleared,1377,2001
Reported,9173,2002
Cleared,1420,2002
Reported,8910,2003
Cleared,1304,2003
Reported,9066,2004
Cleared,1278,2004
Reported,8998,2005
Cleared,1067,2005
Reported,9615,2006
Cleared,1081,2006
Reported,11115,2007
Cleared,1036,2007
Reported,12012,2008
Cleared,1234,2008
Reported,11306,2009
Cleared,1369,2009
Reported,9588,2010
Cleared,1211,2010
Reported,8518,2011
Cleared,1153,2011
Reported,7632,2012
Cleared,974,2012
Reported,7069,2013
Cleared,997,2013
Reported,6806,2014
Cleared,860,2014
Reported,6082,2015
Cleared,862,2015
Reported,5851,2016
Cleared,707,2016
Reported,5646,2017
Cleared,797,2017
