Label,Value,Year
Reported,90,1985
Cleared,63,1985
Reported,119,1986
Cleared,77,1986
Reported,147,1987
Cleared,88,1987
Reported,165,1989
Cleared,0,1989
Reported,176,1990
Cleared,114,1990
Reported,127,1991
Cleared,91,1991
Reported,123,1992
Cleared,73,1992
Reported,125,1993
Cleared,100,1993
Reported,106,1994
Cleared,78,1994
Reported,86,1995
Cleared,46,1995
Reported,85,1996
Cleared,0,1996
Reported,75,1997
Cleared,0,1997
Reported,74,1998
Cleared,42,1998
Reported,83,1999
Cleared,0,1999
Reported,79,2000
Cleared,58,2000
Reported,75,2001
Cleared,43,2001
Reported,90,2002
Cleared,52,2002
Reported,92,2003
Cleared,56,2003
Reported,104,2004
Cleared,56,2004
Reported,91,2005
Cleared,56,2005
Reported,110,2006
Cleared,71,2006
Reported,123,2007
Cleared,70,2007
Reported,115,2008
Cleared,76,2008
Reported,99,2009
Cleared,78,2009
Reported,80,2010
Cleared,66,2010
Reported,71,2011
Cleared,59,2011
Reported,93,2012
Cleared,64,2012
Reported,93,2013
Cleared,51,2013
Reported,96,2014
Cleared,62,2014
Reported,97,2015
Cleared,45,2015
Reported,106,2016
Cleared,63,2016
Reported,109,2017
Cleared,59,2017
