Label,Value,Year
Reported,2693,1985
Cleared,717,1985
Reported,2985,1986
Cleared,965,1986
Reported,3876,1987
Cleared,1164,1987
Reported,3940,1989
Cleared,0,1989
Reported,3963,1990
Cleared,1208,1990
Reported,4131,1991
Cleared,1181,1991
Reported,3614,1992
Cleared,879,1992
Reported,3604,1993
Cleared,881,1993
Reported,3427,1994
Cleared,750,1994
Reported,2920,1995
Cleared,605,1995
Reported,2792,1996
Cleared,0,1996
Reported,2369,1997
Cleared,0,1997
Reported,2051,1998
Cleared,474,1998
Reported,1703,1999
Cleared,0,1999
Reported,2022,2000
Cleared,527,2000
Reported,2195,2001
Cleared,611,2001
Reported,2016,2002
Cleared,575,2002
Reported,2344,2003
Cleared,553,2003
Reported,2223,2004
Cleared,519,2004
Reported,2253,2005
Cleared,458,2005
Reported,2304,2006
Cleared,401,2006
Reported,3114,2007
Cleared,541,2007
Reported,2938,2008
Cleared,676,2008
Reported,2359,2009
Cleared,559,2009
Reported,1693,2010
Cleared,451,2010
Reported,1578,2011
Cleared,479,2011
Reported,1371,2012
Cleared,380,2012
Reported,1424,2013
Cleared,371,2013
Reported,1419,2014
Cleared,368,2014
Reported,1398,2015
Cleared,324,2015
Reported,1463,2016
Cleared,377,2016
Reported,1376,2017
Cleared,385,2017
