Series,Year,Rate
1985,Male Officers,529
1985,Female Officers,59
1985,Male Civilians,509
1985,Female Civilians,286
1986,Male Officers,567
1986,Female Officers,67
1986,Male Civilians,583
1986,Female Civilians,342
1987,Male Officers,594
1987,Female Officers,76
1987,Male Civilians,666
1987,Female Civilians,378
1988,Male Officers,649
1988,Female Officers,95
1988,Male Civilians,701
1988,Female Civilians,419
1989,Male Officers,683
1989,Female Officers,101
1989,Male Civilians,756
1989,Female Civilians,473
1990,Male Officers,739
1990,Female Officers,106
1990,Male Civilians,812
1990,Female Civilians,546
1991,Male Officers,723
1991,Female Officers,106
1991,Male Civilians,845
1991,Female Civilians,545
1992,Male Officers,768
1992,Female Officers,112
1992,Male Civilians,863
1992,Female Civilians,550
1993,Male Officers,771
1993,Female Officers,112
1993,Male Civilians,881
1993,Female Civilians,555
1994,Male Officers,760
1994,Female Officers,113
1994,Male Civilians,913
1994,Female Civilians,574
1995,Male Officers,801
1995,Female Officers,124
1995,Male Civilians,942
1995,Female Civilians,606
1996,Male Officers,807
1996,Female Officers,131
1996,Male Civilians,758
1996,Female Civilians,794
1997,Male Officers,825
1997,Female Officers,139
1997,Male Civilians,950
1997,Female Civilians,627
1998,Male Officers,833
1998,Female Officers,142
1998,Male Civilians,990
1998,Female Civilians,684
1999,Male Officers,833
1999,Female Officers,142
1999,Male Civilians,990
1999,Female Civilians,684
2000,Male Officers,889
2000,Female Officers,170
2000,Male Civilians,374
2000,Female Civilians,524
2001,Male Officers,896
2001,Female Officers,173
2001,Male Civilians,387
2001,Female Civilians,535
2002,Male Officers,927
2002,Female Officers,180
2002,Male Civilians,1069
2002,Female Civilians,785
2003,Male Officers,930
2003,Female Officers,188
2003,Male Civilians,1131
2003,Female Civilians,827
2004,Male Officers,955
2004,Female Officers,191
2004,Male Civilians,1176
2004,Female Civilians,848
2005,Male Officers,976
2005,Female Officers,192
2005,Male Civilians,1169
2005,Female Civilians,841
2006,Male Officers,992
2006,Female Officers,195
2006,Male Civilians,1197
2006,Female Civilians,935
2007,Male Officers,1020
2007,Female Officers,203
2007,Male Civilians,1228
2007,Female Civilians,949
2008,Male Officers,1011
2008,Female Officers,202
2008,Male Civilians,1188
2008,Female Civilians,939
2009,Male Officers,977
2009,Female Officers,195
2009,Male Civilians,1221
2009,Female Civilians,953
2010,Male Officers,991
2010,Female Officers,201
2010,Male Civilians,1248
2010,Female Civilians,925
2011,Male Officers,1042
2011,Female Officers,204
2011,Male Civilians,1203
2011,Female Civilians,877
2012,Male Officers,1047
2012,Female Officers,193
2012,Male Civilians,1205
2012,Female Civilians,889
2013,Male Officers,1040
2013,Female Officers,188
2013,Male Civilians,1138
2013,Female Civilians,849
2014,Male Officers,1006
2014,Female Officers,166
2014,Male Civilians,1201
2014,Female Civilians,863
2015,Male Officers,1007
2015,Female Officers,167
2015,Male Civilians,1188
2015,Female Civilians,878
2016,Male Officers,1018
2016,Female Officers,163
2016,Male Civilians,1207
2016,Female Civilians,885
2017,Male Officers,992
2017,Female Officers,162
2017,Male Civilians,1199
2017,Female Civilians,879
2018,Male Officers,1030
2018,Female Officers,180
2018,Male Civilians,1212
2018,Female Civilians,903
