Label,Value,Year
Reported,3,1985
Cleared,3,1985
Reported,2,1986
Cleared,1,1986
Reported,5,1987
Cleared,0,1987
Reported,2,1989
Cleared,0,1989
Reported,0,1990
Cleared,0,1990
Reported,10,1991
Cleared,6,1991
Reported,1,1992
Cleared,1,1992
Reported,11,1993
Cleared,7,1993
Reported,8,1994
Cleared,0,1994
Reported,1,1995
Cleared,0,1995
Reported,21,2007
Cleared,12,2007
Reported,10,2008
Cleared,3,2008
Reported,8,2009
Cleared,6,2009
Reported,37,2010
Cleared,19,2010
Reported,30,2011
Cleared,12,2011
Reported,14,2012
Cleared,8,2012
Reported,24,2013
Cleared,16,2013
Reported,24,2014
Cleared,12,2014
Reported,12,2015
Cleared,7,2015
Reported,23,2016
Cleared,10,2016
Reported,27,2017
Cleared,10,2017
