Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,0,1986
Cleared,0,1986
Reported,1,1987
Cleared,0,1987
Reported,1,1988
Cleared,0,1988
Reported,19,1989
Cleared,0,1989
Reported,11,1990
Cleared,0,1990
Reported,1,1991
Cleared,0,1991
Reported,6,1992
Cleared,2,1992
Reported,7,1993
Cleared,5,1993
Reported,22,1994
Cleared,2,1994
Reported,58,1995
Cleared,25,1995
Reported,86,1996
Cleared,50,1996
Reported,15,1997
Cleared,14,1997
Reported,7,1998
Cleared,7,1998
Reported,13,1999
Cleared,12,1999
Reported,13,2000
Cleared,13,2000
Reported,2,2004
Cleared,2,2004
Reported,4,2009
Cleared,3,2009
Reported,9,2010
Cleared,8,2010
Reported,13,2011
Cleared,0,2011
Reported,17,2012
Cleared,17,2012
Reported,38,2013
Cleared,32,2013
Reported,46,2014
Cleared,41,2014
Reported,13,2015
Cleared,12,2015
Reported,16,2016
Cleared,6,2016
Reported,7,2017
Cleared,5,2017
Reported,11,2018
Cleared,11,2018
