Label,Value,Year
Reported,1,1985
Cleared,0,1985
Reported,2,1986
Cleared,1,1986
Reported,39,1987
Cleared,1,1987
Reported,77,1988
Cleared,0,1988
Reported,189,1989
Cleared,0,1989
Reported,155,1990
Cleared,1,1990
Reported,173,1991
Cleared,7,1991
Reported,157,1992
Cleared,23,1992
Reported,161,1993
Cleared,29,1993
Reported,235,1994
Cleared,24,1994
Reported,249,1995
Cleared,38,1995
Reported,336,1996
Cleared,71,1996
Reported,283,1997
Cleared,33,1997
Reported,240,1998
Cleared,23,1998
Reported,263,1999
Cleared,47,1999
Reported,196,2000
Cleared,32,2000
Reported,102,2004
Cleared,5,2004
Reported,53,2009
Cleared,11,2009
Reported,127,2010
Cleared,13,2010
Reported,138,2011
Cleared,0,2011
Reported,275,2012
Cleared,28,2012
Reported,259,2013
Cleared,38,2013
Reported,268,2014
Cleared,69,2014
Reported,266,2015
Cleared,72,2015
Reported,243,2016
Cleared,58,2016
Reported,211,2017
Cleared,87,2017
Reported,239,2018
Cleared,96,2018
